UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
P11827,0.41614562,-0.25124595,0.18310857,0.32441464,-0.20377539,0.012975723,0.04558432,-0.182983,0.6208727,-0.008657586,0.030704238,-0.020115137,-0.2319806,-0.3619452,0.20466644,-0.28457245,-0.10983908,0.12316127,0.18483406,-0.00479722,0.18154031,-0.4174376,0.036832683,-0.5758741,-0.60310614,0.23698014,-0.21820733,0.04038818,-0.10359779,-0.4509425,-0.18002442,0.5319036,0.16021048,-0.071622275,0.045142844,-0.013243005,0.30648592,-0.4046561,-0.1468021,-0.10121856,0.26122427,0.55685425,0.26416796,-0.3829864,-0.27399716,0.12895434,0.51286983,0.16136816,-0.043509312,0.19307633,0.03647172,-0.07202025,-0.4034173,0.24866182,0.10972458,0.6930758,-0.31248695,-0.29184696,-0.13402894,0.08624691,0.2365091,0.37010124,0.036798917,-0.04385574,0.215662,-0.08355449,0.18611768,0.32558113,0.014913183,-0.117499426,0.34505558,0.24800602,0.20840499,0.2132916,0.14813939,-0.14896628,-0.0760146,0.4194116,-0.3393806,-0.13574353,-0.047966935,0.29803914,0.06251097,0.009488121,0.1042193,-0.008202117,0.098340616,1.1679989,-0.18063362,0.20060039,-0.2413364,-0.026953597,-0.31779587,0.3866596,0.4894529,0.2521205,-0.08034159,0.3059049,-0.26603284,-0.24008243,0.45510948,0.023320556,-0.61058223,-0.030871943,0.30546594,0.05327647,-0.051675797,-1.1710229,0.13762444,-0.3304891,-0.041730553,-0.63121784,0.13446157,0.16042992,-0.06850752,0.37307468,0.15884428,1.5122943,-0.6176946,-0.29958475,-0.052052736,0.29328737,-0.013239093,-0.36812237,-0.06621358,-0.22147033,-0.019805014,0.14778616
O75347,0.2600821,-0.13940601,-0.29574245,-0.075087614,-0.08299989,0.16647111,-0.16150372,-0.08980836,0.535168,-0.25506788,-0.15938525,0.16054663,0.03720408,-0.48628402,0.062453575,-0.0068696723,-0.1539171,-0.21862547,0.15646373,0.083398,0.12199841,-0.092815794,0.20464535,-0.5253854,-0.45125046,0.2606772,-0.29276586,0.2502962,-0.5130039,0.044934675,-0.09432809,0.22727005,0.24007066,-0.21777944,0.19638847,0.046308376,0.63945335,-0.018745061,0.2466592,0.049980007,0.09724834,0.32958263,0.21060248,0.09397059,-0.32032576,0.006727421,1.1368803,0.2577019,0.43511033,0.39045963,0.091108456,-0.0068677515,-0.4832031,0.07593441,-0.03754007,-0.025825918,-0.15152451,-0.10020691,0.048366886,0.0719351,0.12724008,0.09038496,0.04106589,0.22043172,0.22204085,0.25862077,-0.052677553,-0.06895824,0.13344519,0.051347196,0.09432875,0.16059938,-0.1361743,-0.0067399144,0.07502933,-0.18428716,-0.21383831,0.17814402,-0.27476805,-0.1122065,0.097341314,0.19134757,-0.054414373,0.23240559,0.48429412,-0.1814398,-0.033869922,1.0097326,-0.000379131,0.1757168,0.09789725,-0.07296839,-0.00045392514,0.27431676,-0.2636892,-0.02425338,-0.179795,-0.07986005,0.05022336,0.26010543,-0.07871221,0.4301746,-0.22758517,0.08968745,0.12931809,-0.09486869,0.32027492,-0.9683048,0.47898993,-0.44344983,-0.1169366,-0.53201497,0.30355167,0.21530314,-0.04137698,-0.03348456,-0.16611972,1.4776446,-0.42605454,0.31566063,-0.122661784,-0.12513028,0.14859302,0.16646662,0.094212666,0.029285073,-0.0057948744,0.20916183
P11655,0.23647101,-0.43809825,-0.031201236,0.19569996,-0.2537856,0.1097257,-0.46139935,-0.19113882,0.4947237,-0.10878906,0.17190416,0.07576212,-0.18478777,-0.06818548,0.19160643,-0.088757455,0.116907895,0.01306653,0.1845092,-0.043354295,0.17404273,-0.21704522,0.15978171,-0.56292945,-0.33224303,-0.07219831,-0.05612464,0.24917063,-0.0033518611,-0.15407135,-0.062328063,0.11914368,0.20300029,-0.17104268,0.09195571,-0.088267155,0.34639814,-0.11926485,-0.20287392,0.14890239,0.0014909767,0.763991,0.27670622,-0.5698041,-0.20466758,0.016671877,0.92841154,0.13450916,0.007069882,0.10805732,0.015696175,0.08262286,-0.2231606,-0.050538957,0.25698656,0.40803564,-0.17546126,-0.24721703,-0.24351346,0.09105398,-0.11144702,0.10484753,-0.18495643,0.26126888,0.38082516,-0.13594274,-0.03880845,0.19894975,-0.18877444,0.045611072,0.15079339,0.081555374,0.039152686,0.043014936,0.19858299,-0.08212824,-0.0013582855,0.1915182,-0.24995719,0.24919161,0.09774616,-0.06376527,0.10379775,0.4293197,0.15870267,-0.039707027,0.23235455,1.0015951,-0.057178527,0.16004872,-0.37115392,-0.0704129,-0.13372247,0.29640716,0.24251017,0.29060873,0.0028646588,-0.017353237,-0.045928556,-0.01836565,0.33642668,-0.10981784,-0.43737975,-0.015102498,0.10156506,0.03393735,-0.064859495,-0.7900169,0.2219922,-0.4213689,0.018689357,-0.60383445,0.10154256,-0.29841578,0.04842015,0.18949418,0.16099072,1.3089609,-0.6838122,-0.2575734,0.062347036,0.07183337,0.08807638,0.09899501,0.072905265,-0.12979156,0.024277657,0.11005486
O95149,0.10215806,-0.061935626,-0.16618003,0.069743015,-0.14153244,0.11314989,-0.24859433,-0.13586508,0.35826945,-0.18448457,0.056850974,0.07891019,0.09075119,-0.34521815,-0.008051473,-0.08419908,-0.021655982,-0.12573144,0.012687833,0.010350445,0.15901785,-0.109588794,0.0060212775,-0.5626981,-0.5288396,-0.001780919,-0.197321,0.095407814,-0.36574706,-0.044817105,-0.11299908,0.07230568,0.08654819,-0.09270055,0.0695699,0.048071206,0.5746696,0.040001888,0.016569179,-0.11673822,-0.03810103,0.3667626,-0.098868944,0.08988824,-0.20982665,0.06271337,1.0498635,0.15440279,0.07173269,0.07394557,0.15926583,-0.048280235,-0.37614563,0.024320064,0.10805171,-0.085808046,-0.028596567,-0.27957228,-0.20731033,-0.13891985,0.14610839,0.08681669,-0.09871793,0.038075212,0.08254265,-0.00628261,-0.03314955,0.030284453,0.1676959,0.084372625,-0.18474321,0.06738407,-0.033390198,0.24580044,0.052095927,0.0030039074,-0.0093703335,0.2799741,-0.07193642,-0.010444648,0.28800336,0.025395572,0.034360606,0.36323407,0.3179792,-0.11068928,0.12791017,1.2437645,0.28217834,0.1416019,0.16535573,0.028266568,-0.15792903,0.14258789,0.04760666,0.277948,-0.06781645,0.19820279,-0.03745464,0.098439455,0.14019285,0.3831159,-0.12442846,0.046468437,-0.005486846,-0.1252382,0.15123247,-1.0377711,0.26980093,-0.14799064,-0.26248085,-0.58656985,0.0038172277,0.16710137,-0.11958594,-0.109256156,0.028700352,1.2808155,-0.33963707,-0.32902238,-0.11974981,0.055530228,0.22642016,0.12305381,-0.05991359,0.03046583,-0.12583323,0.11750731
P06132,-0.044974707,-0.1393697,-0.03606813,-0.037348527,0.03951252,0.09161196,-0.09463221,-0.159901,0.3769695,-0.32744795,-0.24001868,0.17644271,0.09422057,-0.36302057,0.16759866,0.08955504,-0.32071465,0.010746801,0.1043483,-0.103504755,0.24573728,0.05234123,0.038722865,-0.5771929,-0.70609283,0.11095641,-0.061753146,0.23118548,-0.46698317,-0.003675279,-0.3217178,0.22318092,-0.06977934,-0.17189094,0.040693708,0.02516823,0.5603428,-0.010196929,0.10629679,-0.27749425,-0.24319844,0.15100476,-0.1724277,0.0457643,-0.24645238,-0.055650167,1.1860428,0.28938815,0.16241524,0.04034909,0.104290605,0.07966727,-0.4161703,0.087624654,0.015830535,-0.05732443,0.106201485,-0.16604987,0.059802424,0.16210036,-0.042693563,0.32785442,-0.10972695,-0.13666728,0.31481346,-0.041118853,0.07726518,-0.026492357,-0.0705624,-0.06434294,-0.15916605,-0.07458849,0.160193,-0.10074661,-0.23614204,0.05223416,0.20761931,0.17507455,-0.04704264,0.17451613,0.34777918,0.017299622,-0.0002396062,0.2609533,0.08180927,-0.1675036,0.055075906,0.66383594,0.06644646,0.42452782,-0.19852039,0.0037778497,-0.22216472,0.050018966,-0.04020382,0.012012064,-0.051586322,0.065058775,-0.027404472,-0.28082743,0.0023797646,0.4335402,-0.10914123,0.12367238,0.083799385,0.042778283,0.055215072,-0.83001375,0.35830265,-0.10330603,-0.1325971,-0.4523405,0.1295147,0.12939985,0.11194992,0.047896765,0.16268429,1.3522476,-0.58094686,-0.088473104,-0.01783492,0.07004061,0.0700105,0.31423894,0.32092267,0.08768487,-0.01884467,0.38966298
B4XT64,-0.09831435,0.06454823,-0.02174987,-0.18802588,-0.25677368,0.051756512,-0.29798052,-0.15208568,0.37206486,-0.0721649,-0.122102976,0.26068458,-0.010699869,-0.24868953,0.28255233,-0.18783982,-0.18954588,-0.14084339,-0.018317534,0.08111498,0.07878319,0.00048062703,0.016381925,-0.6181117,-0.5699078,0.23298113,-0.087160885,0.1029894,-0.65400916,-0.019609904,0.04995203,0.13950533,-0.08410144,-0.14198732,0.22827317,-0.040260475,0.604231,0.07773321,-0.16419655,-0.06961929,0.059272762,0.23771553,0.0708664,0.15511036,0.0540379,-0.04052291,0.9665129,0.0497342,0.31099004,-0.16770875,0.10510117,-0.04801726,-0.36956838,0.040318836,-0.046556473,-0.070928805,0.038100597,-0.03850109,0.037229195,-0.1584905,-0.33744216,0.12023101,0.12725902,0.14353244,0.073058955,0.06970058,-0.059038997,-0.13732253,0.108511925,0.078789674,-0.22600798,0.03108432,-0.15173183,0.03610693,-0.1998411,-0.081594266,-0.05736794,0.030444672,-0.03976648,0.043473024,0.17801233,-0.0029712103,0.029537998,0.030649973,0.3886102,-0.09753255,0.21991825,1.2420208,0.20289211,-0.058069795,0.08077642,-0.24090375,-0.16553207,0.031518873,-0.10329786,0.079055354,-0.08557043,-0.00424793,0.076544754,0.08020517,-0.0031635512,0.25565374,-0.11282578,0.2070471,0.17775731,0.119223416,-0.05438039,-1.0595272,0.21587269,-0.0647411,-0.1755643,-0.4828867,0.07488535,-0.001370877,-0.08068134,-0.1062794,0.16060503,1.3807329,-0.6974933,-0.058920488,-0.3589621,0.11151165,0.22400796,0.10163355,0.10193143,0.2308883,-0.017322686,0.048389185
O75604,-0.020628314,-0.17737845,-0.07734233,0.009810001,0.17250186,0.31200564,-0.36804652,-0.11207314,0.48958635,-0.096719585,0.009080407,0.21420631,-0.008562447,-0.20087409,0.09153173,-0.01812683,-0.091265716,-0.010349334,0.17812946,-0.011270294,0.3857654,-0.11539088,-0.04810173,-0.34862515,-0.47119626,0.089175835,0.15834817,0.2911842,-0.16105084,0.13660501,0.10523728,0.12786883,-0.005551991,-0.124861434,0.087914765,0.16534624,0.61138284,0.09567149,-0.03862311,-0.1112805,-0.29166305,0.29615217,-0.012917888,-0.1130842,-0.12972656,0.089208886,0.81198186,0.057226114,0.046647735,-0.07503293,0.027607024,0.14059535,-0.41786808,-0.06704996,-0.008251943,0.07006762,-0.0822526,-0.31540883,0.012972142,0.009425983,-0.028730115,0.096377276,-0.10600009,-0.08089088,0.25091344,-0.14065187,-0.0037215413,-0.0015121221,-0.24741808,-0.01954707,-0.17436641,-0.050932717,0.08562787,-0.11489193,-0.027922895,-0.017193248,0.095117226,0.04696057,-0.08528072,0.13284713,0.19191374,0.072477065,0.061846115,0.21573845,0.1438735,-0.02664562,0.17269897,1.1733339,0.20976922,0.357686,-0.05447022,-0.14101788,-0.23961756,0.17237489,-0.15218964,0.2660156,0.05803012,-0.032571383,-0.07275858,0.025919836,0.0725262,0.24547592,-0.06927247,0.044534434,-0.011230208,-0.29055133,0.1329829,-0.91633064,0.42132694,-0.17367104,-0.2566411,-0.7300828,-0.074684106,0.05022666,-0.050549936,-0.015145781,0.014289451,1.2270623,-0.6863784,-0.2080086,0.08006216,0.07140902,-0.048464615,0.070912585,0.066106796,0.011852856,-0.06899258,0.09519734
P26639,0.14863358,-0.042350043,-0.11985886,0.02170528,-0.020727659,0.16400641,-0.20988797,0.040333126,0.42689404,-0.17935877,0.18750286,-0.15186025,0.09675884,-0.39297724,-0.02965667,-0.0026177764,0.134004,0.06612721,0.052858498,0.02896913,0.17712922,-0.13731657,0.099313475,-0.37319708,-0.5169293,0.08758939,-0.24281321,0.10442344,-0.49462107,0.27215979,-0.082620315,0.25506735,-0.2585666,-0.12900414,-0.009224196,-0.0031556066,0.48830834,0.15369931,0.09805542,0.09568671,-0.167037,0.71080875,0.04115373,0.09020006,-0.10966911,-0.07048988,1.1964183,0.022744844,-0.024412775,0.07145109,0.084721856,0.30909204,-0.5161096,0.010072957,-0.018354649,0.052548934,-0.19168724,-0.1891862,-0.14039086,-0.031219443,0.07346033,-0.009259724,-0.029405063,-0.1537931,0.32063568,-0.22827296,-0.22470234,0.23086375,0.028492263,0.11723599,0.049810532,0.03300405,-0.114008754,-0.019644836,0.05306627,-0.04554534,0.014734442,0.37461904,-0.06047581,0.29747888,0.44936994,0.0035656516,-0.051592425,0.38970718,0.3090688,0.28454915,0.03677768,1.2807188,0.18865085,0.21486115,-0.018750736,-0.26757702,-0.33329818,0.15813753,-0.034021575,0.14879972,0.048391465,-0.21242177,-0.16301417,-0.0586846,0.10112077,0.25100097,-0.21146071,-0.0023088555,0.016412804,-0.15255691,0.10828346,-1.0395485,0.24337511,-0.031119386,-0.063646115,-0.7164149,0.15962137,-0.11212,-0.2330573,-0.12620682,-0.099533826,1.2672924,-0.6143384,-0.20451242,-0.14802623,0.09901003,-0.10953448,0.07213024,0.021898573,-0.042279202,0.042497102,-0.019693881
P12425,0.057619836,-0.054876942,0.081582166,-0.15957779,-0.060935363,0.033671822,-0.039893966,0.12397639,0.29934844,-0.07316473,-0.08439382,0.1124613,-0.09404336,-0.3560159,-0.028814577,0.075784065,-0.07979894,-0.02009673,-0.0016348565,0.16611439,0.18909726,-0.22809246,0.1221014,-0.49768686,-0.78612894,0.21025297,0.07553016,0.19031866,-0.3859682,-0.10557762,-0.20049652,-0.046235155,-0.071471065,0.058285728,-0.068396926,-0.08923164,0.6293208,-0.046404738,-0.055794135,0.14738536,-0.008297079,0.27351853,-0.12666443,0.08949573,-0.3284396,0.09150115,1.0603274,-0.038443703,0.18613273,0.23108226,0.07691908,0.36337912,-0.3833346,-0.101675384,-0.058180623,0.008527938,-0.07652175,-0.15357319,0.020347144,0.00055432983,0.091471046,0.06324349,-0.047283772,0.02261812,-0.10179138,0.021835051,-0.17287081,0.14764148,0.14930026,-0.0035660202,0.017058559,-0.10007741,0.038159445,0.15110487,0.09421643,-0.005151083,0.02053188,-0.06858658,0.04063291,-0.13480122,0.31014478,0.22398117,0.1768901,-0.00605114,0.26693904,-0.19717222,0.24392875,1.0073848,0.25324103,0.048624847,-0.07662973,0.028418591,-0.1724084,0.02842632,0.015409332,-0.015358203,0.020386064,0.048236553,-0.07042211,-0.14056401,-0.027643135,0.60355115,0.0031728016,0.061158206,0.017231543,0.043970883,0.13144684,-0.928845,0.35787827,-0.28506473,0.015236739,-0.68331295,0.0051566777,0.052474946,0.084734134,-0.0050444505,0.098105304,1.5470715,-0.89136654,-0.072903834,-0.15938216,-0.036889784,0.11189583,0.14947529,0.19303274,0.18294238,0.02550699,-0.037711956
O76095,-0.056378677,-0.045832865,-0.1334542,-0.022728145,-0.1904254,0.134342,-0.26555774,-0.15622777,0.4269918,-0.119077004,-0.094778314,0.13526218,0.06519717,-0.29461363,0.08406874,-0.023778822,-0.06304206,0.16176547,0.061307378,0.03404867,0.2602716,-0.11307772,0.22245395,-0.5696409,-0.54396844,0.13086231,-0.07064689,0.18361013,-0.22504447,0.040358007,0.005123345,0.032513835,0.09931228,-0.14718185,0.22230306,0.0231947,0.45632172,0.11973986,0.046776887,0.01145418,0.15765928,0.28477773,0.08092898,0.047289945,-0.2588654,0.0977471,0.95153755,0.046643168,0.05350948,-0.067591235,0.045941073,0.03209141,-0.24604478,-0.10640852,-0.006503716,0.028676694,-0.027106846,-0.16305354,0.00921106,-0.21070223,-0.14275546,0.025812011,-0.11840776,0.14659406,0.19821674,-0.03274049,-0.020588469,-0.051144484,0.010076598,0.0420075,-0.11905848,0.06973194,-0.054075696,-0.044540323,-0.004113109,0.07893578,0.053241637,0.12349749,-0.26350716,0.08253713,0.2530598,-0.07104917,0.13730693,0.13096184,0.32900998,-0.17091884,0.035441156,1.0089506,0.20108235,0.39435843,0.14538051,-0.06297347,-0.14365174,0.1180266,0.10430871,0.2579054,0.02862592,-0.06263225,-0.021614552,0.1717881,0.019880429,0.28874812,-0.05301979,-0.06250849,0.08097843,-0.071857594,0.083243765,-0.84656596,0.13149069,-0.23667519,0.06251948,-0.41343972,0.12998123,0.12760533,-0.07398009,0.040509056,0.04166869,1.1861717,-0.296555,-0.17264755,-0.069176726,0.05542297,0.18773514,0.12776218,0.11131917,0.0860251,-0.04835304,0.11473191
