accession_code,go_id,category
P11827,GO:0005783,C
P11827,GO:0000326,C
O75347,GO:0005737,C
O75347,GO:0015630,C
O75347,GO:0005730,C
O75347,GO:0051087,F
O75347,GO:0007023,P
P11655,GO:0005783,C
P11655,GO:0005794,C
P11655,GO:0005085,F
P11655,GO:0003400,P
O95149,GO:0005829,C
O95149,GO:0042564,C
O95149,GO:0005643,C
O95149,GO:0005654,C
O95149,GO:0005634,C
O95149,GO:0005886,C
O95149,GO:0000339,F
O95149,GO:0007010,P
O95149,GO:0051259,P
O95149,GO:0051262,P
O95149,GO:0006404,P
P06132,GO:0005829,C
P06132,GO:0005654,C
P06132,GO:0004853,F
P06132,GO:0006787,P
P06132,GO:0006778,P
B4XT64,GO:0005737,C
B4XT64,GO:0005654,C
B4XT64,GO:0080006,P
B4XT64,GO:0010305,P
B4XT64,GO:2000024,P
B4XT64,GO:0010222,P
O75604,GO:0005654,C
O75604,GO:0030332,F
O75604,GO:0004843,F
O75604,GO:0004197,F
O75604,GO:0031625,F
O75604,GO:0000122,P
O75604,GO:0045931,P
O75604,GO:0016579,P
O75604,GO:0050821,P
O75604,GO:1901796,P
P26639,GO:0005829,C
P26639,GO:0005524,F
P26639,GO:0042802,F
P26639,GO:0004829,F
P26639,GO:0008270,F
P26639,GO:0006435,P
P12425,GO:0140297,F
P12425,GO:0016595,F
P12425,GO:0070406,F
P12425,GO:0000287,F
P12425,GO:0043562,P
P12425,GO:0006542,P
P12425,GO:1904797,P
P12425,GO:0045892,P
P12425,GO:0090295,P
O76095,GO:0005737,C
O76095,GO:0016020,C
O76095,GO:0030496,C
O76095,GO:0005886,C
O76095,GO:0019901,F
O76095,GO:0000278,P
O76095,GO:0000281,P
O76095,GO:0045860,P
P63159,GO:0005829,C
P63159,GO:0005615,C
P63159,GO:0045121,C
P63159,GO:0008097,F
P63159,GO:0003681,F
P63159,GO:0000402,F
P63159,GO:0005125,F
P63159,GO:0008301,F
P63159,GO:0003690,F
P63159,GO:0000400,F
P63159,GO:0051861,F
P63159,GO:0008201,F
P63159,GO:0000401,F
P63159,GO:0042277,F
P63159,GO:0046982,F
P63159,GO:0050786,F
P63159,GO:0003697,F
P63159,GO:0030036,P
P63159,GO:0000902,P
P63159,GO:0071347,P
P63159,GO:0006935,P
P63159,GO:0007623,P
P63159,GO:0032392,P
P63159,GO:0006302,P
P63159,GO:0050930,P
P63159,GO:0050831,P
P63159,GO:0051450,P
P63159,GO:0008156,P
P63159,GO:0007399,P
P63159,GO:0051402,P
P63159,GO:0031175,P
P63159,GO:0043065,P
P63159,GO:0010508,P
P63159,GO:0030335,P
P63159,GO:0008284,P
P63159,GO:0032732,P
P63159,GO:0032755,P
P63159,GO:0032757,P
P63159,GO:0071642,P
P63159,GO:0002053,P
P63159,GO:0045931,P
P63159,GO:0033034,P
P63159,GO:0045663,P
P63159,GO:0010976,P
P63159,GO:0014911,P
P63159,GO:0032760,P
P63159,GO:0065003,P
P63159,GO:0009749,P
P63159,GO:0032868,P
P63159,GO:0032496,P
P63159,GO:0034341,P
P63159,GO:0009410,P
P46527,GO:0005813,C
P46527,GO:0036064,C
P46527,GO:0005929,C
P46527,GO:0031464,C
P46527,GO:0005737,C
P46527,GO:0005829,C
P46527,GO:0005654,C
P46527,GO:0005634,C
P46527,GO:0030332,F
P46527,GO:0019914,F
P46527,GO:0004861,F
P46527,GO:0060090,F
P46527,GO:0140678,F
P46527,GO:0019901,F
P46527,GO:0004860,F
P46527,GO:0019903,F
P46527,GO:0044877,F
P46527,GO:1990757,F
P46527,GO:0031625,F
P46527,GO:0048102,P
P46527,GO:0071285,P
P46527,GO:0090398,P
P46527,GO:0030308,P
P46527,GO:0008285,P
P46527,GO:1904030,P
P46527,GO:0045736,P
P46527,GO:0045892,P
P46527,GO:0033673,P
P46527,GO:0042326,P
P46527,GO:1904706,P
P46527,GO:0051168,P
P46527,GO:0045740,P
P46527,GO:0045732,P
P46527,GO:0051726,P
P46527,GO:1902806,P
P46527,GO:0000079,P
P46527,GO:2000045,P
Q8IZH2,GO:0005829,C
Q8IZH2,GO:0005886,C
Q8IZH2,GO:0004534,F
Q8IZH2,GO:0070034,F
Q8IZH2,GO:0071044,P
Q8IZH2,GO:0032211,P
Q8IZH2,GO:0071028,P
Q8IZH2,GO:0000956,P
Q8IZH2,GO:0016075,P
P54279,GO:0032389,C
P54279,GO:0006974,P
P54279,GO:0006281,P
P54279,GO:0051321,P
P54279,GO:0006298,P
P54279,GO:0048298,P
P54279,GO:0048304,P
P54279,GO:0016446,P
P54279,GO:0016447,P
P07288,GO:0005576,C
P07288,GO:0005615,C
P07288,GO:0032991,C
P07288,GO:0004175,F
P07288,GO:0016811,F
P07288,GO:0004252,F
P07288,GO:0008236,F
P07288,GO:0002803,P
P07288,GO:0006508,P
P13686,GO:0005829,C
P13686,GO:0016020,C
P13686,GO:0008199,F
P13686,GO:0008198,F
O94316,GO:0005721,C
O94316,GO:0071014,C
O94316,GO:0000974,C
O94316,GO:0005681,C
O94316,GO:0005682,C
O94316,GO:0045292,P
O94316,GO:0031047,P
O94316,GO:0140727,P
Q12309,GO:0000785,C
Q12309,GO:0000974,C
Q12309,GO:0071006,C
Q12309,GO:0071007,C
Q12309,GO:0071008,C
Q12309,GO:0071004,C
Q12309,GO:0003682,F
Q12309,GO:0003688,F
Q12309,GO:0000354,P
Q12309,GO:0006270,P
P23872,GO:0008126,F
P23872,GO:0016787,F
P23872,GO:0042803,F
P23872,GO:0034338,F
P02686,GO:0005829,C
P02686,GO:0043209,C
P02686,GO:0032991,C
P02686,GO:0005516,F
P02686,GO:0008289,F
P02686,GO:0008366,P
P02686,GO:0007417,P
P02686,GO:0007268,P
P02686,GO:0006955,P
P02686,GO:0035633,P
P02686,GO:0000165,P
P02686,GO:0034115,P
P02686,GO:2000343,P
P02686,GO:0032755,P
P02686,GO:1904685,P
P02747,GO:0062167,C
P02747,GO:0005576,C
P02747,GO:0006958,P
P02747,GO:0030853,P
P02747,GO:0045650,P
Q15428,GO:0071013,C
