uniprot_id,database,processed,has_go_terms,has_go_terms_pair
P09169,MoonProt3,True,True,True
Q9Y2X8,MoonDB,True,True,True
Q05086,MoonDB,True,True,True
Q9Y6X0,MoonDB,True,True,True
Q8BH75,MoonDB,True,True,True
Q04120,MoonProt3,True,True,True
P61077,MoonDB,True,True,True
Q16659,MoonDB,True,True,True
Q6UWE0,MoonDB,True,True,True
Q8IWX8,MoonDB,True,True,True
P43364,MoonDB,True,True,True
Q969T4,MoonDB,True,True,True
O75400,MoonDB,True,True,True
P06151,MoonProt3,True,True,True
P08254,MoonProt3,True,True,True
Q96LR5,MoonDB,True,True,True
P23568,MoonProt3,True,True,True
Q06449,MoonDB,True,True,True
P54786,MoonDB,True,True,True
Q9VU87,MoonProt3,True,True,True
O75821,MoonProt3,True,True,True
O15371,MoonProt3,True,True,True
Q9Y2D8,MoonDB,True,True,True
Q9VDV4,MoonProt3,True,True,True
P10096,MoonProt3,True,True,True
P48601,MoonDB,True,True,True
P50142,MoonProt3,True,True,True
Q13480,MoonDB,True,True,True
P40054,MoonDB,True,True,True
O14788,MoonDB,True,True,True
Q15477,MoonDB,True,True,True
Q92734,MoonDB,True,True,True
Q9H211,MoonProt3,True,True,True
P00004,MoonProt3,True,True,True
P31230,MoonProt3,True,True,True
P43593,MoonProt3,True,True,True
P49710,MoonDB,True,True,True
P34960,MoonProt3,True,True,True
Q9V4S8,MoonProt3,True,True,True
P32835,MoonDB,True,True,True
P15822,MoonDB,True,True,True
Q9GZM8,MoonDB,True,True,True
Q92890,MoonDB,True,True,True
P16143,MoonProt3,True,True,True
P28862,MoonProt3,True,True,True
P0AG40,MoonProt3,True,True,True
Q9C0C9,MoonDB,True,True,True
Q9NPI8,MoonDB,True,True,True
O43639,MoonDB,True,True,True
Q9C019,MoonDB,True,True,True
Q15843,MoonDB,True,True,True
Q15154,MoonDB,True,True,True
P32189,MoonDB,True,True,True
P12063,MoonProt3,True,True,True
Q86VP1,MoonDB,True,True,True
Q7YZX3,MoonProt3,True,True,True
Q9KKF0,MoonProt3,True,True,True
