database,column,value,count,local_percentage,global_percentage
MoonProt3,processed,True,443,95.68034557235421,30.91416608513608
MoonProt3,processed,False,20,4.319654427645788,1.3956734124214933
MoonProt3,has_go_terms,True,302,65.2267818574514,21.07466852756455
MoonProt3,has_go_terms,False,161,34.77321814254859,11.235170969993021
MoonProt3,has_go_terms_pair,True,330,71.2742980561555,23.02861130495464
MoonProt3,has_go_terms_pair,False,133,28.725701943844495,9.281228192602931
MoonDB,processed,True,281,100.0,19.609211444521982
MoonDB,processed,False,0,0.0,0.0
MoonDB,has_go_terms,True,281,100.0,19.609211444521982
MoonDB,has_go_terms,False,0,0.0,0.0
MoonDB,has_go_terms_pair,True,281,100.0,19.609211444521982
MoonDB,has_go_terms_pair,False,0,0.0,0.0
Previous_Study,processed,True,688,99.85486211901306,48.01116538729937
Previous_Study,processed,False,1,0.14513788098693758,0.06978367062107467
Previous_Study,has_go_terms,True,685,99.41944847605225,47.801814375436145
Previous_Study,has_go_terms,False,4,0.5805515239477503,0.2791346824842987
Previous_Study,has_go_terms_pair,True,688,99.85486211901306,48.01116538729937
Previous_Study,has_go_terms_pair,False,1,0.14513788098693758,0.06978367062107467
