accession_code,ProstT5_32_dim_0,ProstT5_32_dim_1,ProstT5_32_dim_2,ProstT5_32_dim_3,ProstT5_32_dim_4,ProstT5_32_dim_5,ProstT5_32_dim_6,ProstT5_32_dim_7,ProstT5_32_dim_8,ProstT5_32_dim_9,ProstT5_32_dim_10,ProstT5_32_dim_11,ProstT5_32_dim_12,ProstT5_32_dim_13,ProstT5_32_dim_14,ProstT5_32_dim_15,ProstT5_32_dim_16,ProstT5_32_dim_17,ProstT5_32_dim_18,ProstT5_32_dim_19,ProstT5_32_dim_20,ProstT5_32_dim_21,ProstT5_32_dim_22,ProstT5_32_dim_23,ProstT5_32_dim_24,ProstT5_32_dim_25,ProstT5_32_dim_26,ProstT5_32_dim_27,ProstT5_32_dim_28,ProstT5_32_dim_29,ProstT5_32_dim_30,ProstT5_32_dim_31
P02686,-0.48735493,-0.27414548,0.21072713,0.080489054,0.20706768,-0.1699734,0.047089785,0.92812234,-0.47190878,0.35093087,-0.11057156,-0.30040714,0.025742084,-0.090219185,-0.051668547,-0.05300188,0.5463162,-0.099982314,-0.43657935,-0.2823493,0.0100506125,-0.10493417,0.21162696,0.04356666,-0.0646252,-0.011127485,0.032005303,-0.11919391,0.43386534,-0.12375497,0.7224181,-0.23101602
P02747,-0.74480164,0.4444145,0.42896354,0.012183132,-0.45229846,-0.07556209,-0.08166652,-0.2088185,0.6172997,0.42405033,-0.045324184,0.19912028,-0.15555179,-0.018136136,0.14403147,0.18141097,-0.11702642,-0.1758936,-0.15038556,-0.3813637,0.65552163,-0.13624486,0.31889373,-0.30371028,-0.52872473,-0.05844424,0.11471283,0.026521325,0.679325,-0.06654029,-0.26220918,0.20259823
Q15428,-0.6078491,0.2667692,0.34021056,0.1992943,-0.49512082,-0.0027501024,0.19879937,-0.080934145,0.6258035,0.009860128,-0.24649379,0.07850692,-0.35653508,0.051464863,0.27747664,0.4838412,-0.19848852,0.11055279,-0.14164463,0.027240768,0.5791351,-0.06435111,0.092983395,-0.25495332,-0.44391167,0.09718504,0.43744963,-0.315485,0.5166109,-0.055385474,0.1462568,0.049851928
O95429,-0.07643863,-0.20339948,0.13500166,0.40711567,-0.15421177,-0.14226525,0.47411656,0.31866696,0.08100655,-0.11372508,-0.53632545,-0.37950003,-0.30270243,-0.24873689,0.11463236,0.30151552,0.03700809,-0.25508052,-0.6452305,0.1761247,0.4727743,0.14737068,0.08147952,0.10197718,-0.6003778,-0.12978159,0.49163747,-0.06069085,0.012957208,-0.39902276,0.34167367,-0.0980251
P0AFW0,0.12722169,0.10819608,0.28292164,0.11886666,0.07537018,0.10673088,-0.5858565,-0.023987688,0.08572561,0.39773074,0.09619655,-0.121684834,0.3291186,0.07613327,-0.2012886,-0.19161361,-0.011308342,0.023338713,-0.024510622,-0.6335218,0.06235143,-0.37485233,-0.1087029,0.14952786,-0.029271573,-0.0764768,-0.43105218,-0.07988034,0.1959005,0.17535108,-0.17070585,0.29220372
P06821,-0.3143493,-0.07765597,0.59034085,0.12959743,0.27932286,-0.17038979,0.089387804,0.270269,-0.4486477,0.4829214,0.31353897,0.0873843,0.06880009,0.050100677,0.07981712,-0.3196898,0.5552819,-0.2469253,-0.4586717,-0.42838848,-0.024914164,-0.19547735,0.46036443,0.16805086,0.110266194,0.04363411,-0.1544365,0.071811646,0.40816414,-0.3258063,0.28111643,0.32472354
O08807,0.020797744,0.073726565,0.08320883,0.24413124,-0.16117424,0.109334856,0.36501503,-0.23533905,0.16657951,0.116490714,0.23298325,-0.31151724,0.0679898,0.08786606,0.03574208,-0.016830757,0.17900568,0.16809419,0.06794387,-0.1839302,0.040684637,0.034012884,-0.055961024,-0.20001905,-0.08162187,-0.20364992,-0.1747764,0.2669104,0.19712457,-0.060706485,-0.14299309,0.09328361
Q7NBZ0,-0.0045538694,-0.13087359,-0.11084183,0.0081367325,-0.2554487,0.34663078,-0.18552446,-0.22639409,0.014354798,0.05122623,-0.0084227435,-0.017334148,0.1206522,0.02405174,0.16384178,-0.26093727,-0.08372097,0.05751288,0.18863875,-0.2835827,0.07932005,-0.36160648,-0.16632585,0.16592215,0.07020192,0.14525521,-0.2767848,0.12472827,0.069686025,0.018756976,0.0666502,0.07672897
O94913,0.12777855,-0.09016533,0.2206521,0.3323721,-0.13360849,-0.2180228,0.7744377,-0.016988657,0.19361904,-0.27626148,-0.46033186,-0.3907665,-0.33791578,-0.15320653,0.038130097,0.081870764,-0.12162717,0.2638483,-0.42450672,0.37731296,0.08956782,-0.02958589,-0.028798614,0.25105307,-0.40474355,-0.096343726,0.19856733,0.23007563,-0.03520047,-0.12132768,0.36285177,-0.05953531
P16333,0.12934257,0.08560893,0.03210064,0.39943546,0.07290287,0.22882086,-0.08917207,0.23168525,0.24124524,0.19174895,0.09645681,-0.08048117,-0.08156898,0.0067453906,-0.257601,-0.00037123263,0.23371628,0.5332592,0.05146864,-0.38945884,-0.025287934,-0.08958793,-0.07638961,-0.03067565,0.0020450652,-0.22786883,-0.17199686,-0.14722726,0.01105354,0.030832307,0.124203905,0.2142542
A8I4E9,-0.22332965,0.21755044,0.6685888,0.07716728,-0.32329714,-0.103508435,0.60178274,-0.6067425,-0.028534804,-0.1448757,0.16543882,0.15024588,-0.5754884,0.096178435,0.48935947,0.09415306,-0.1855839,0.32260853,-0.42302632,0.18969576,-0.0949085,-0.13782115,0.12128204,0.50067776,0.050647065,0.4244009,0.2697057,-0.10489318,-0.008054562,-0.2380114,0.3997615,0.44895226
Q92890,-0.095617965,-0.08245286,0.2578143,0.27204013,-0.16897732,0.1484604,0.20607266,-0.057720996,0.34454957,0.27927798,0.15246433,-0.1615935,0.21301687,0.12152978,0.089137815,0.13747644,0.16620627,0.20210987,-0.21198055,-0.038399532,0.042072047,0.044263497,-0.068176135,-0.35771084,-0.031960614,-0.12103174,0.12867513,-0.34458944,0.19923449,0.06072027,-0.13615869,0.11113699
P0DTD2,-0.39972544,0.35819003,0.614518,-0.11882496,0.30143744,-0.4269323,-0.29054135,0.6338126,-0.090668604,0.45248726,0.25648072,-0.26785183,0.2555548,-0.011507899,-0.18033093,-0.17412409,0.6171647,-0.056145497,-0.12955528,-0.7477173,-0.18001728,-0.5909498,0.38021126,-0.28126216,0.22335486,-0.173887,-0.40086553,0.04261846,0.6032968,0.37287152,0.30680275,-0.15489477
O62479,-0.14088018,0.29326314,0.37996823,-0.14197914,-0.2583847,-0.042850334,0.5078474,-0.25644413,0.08196726,-0.044528455,-0.19910096,-0.092917815,-0.4995951,0.17305356,0.3465434,-0.046455055,-0.20365329,0.25221342,-0.61788785,0.09366898,-0.042391647,-0.25617787,0.14834492,0.3397172,-0.20255625,0.251455,-0.033038445,0.063881904,0.14624837,0.008931199,0.4005854,0.13135801
