UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
P11827,-0.046052784,-0.07478914,-0.80789745,-0.20070536,0.3124801,0.051554486,-0.16431133,0.23303539,-0.11251412,0.01603539,-0.102012336,0.3772721,-0.18827426,-0.23620242,0.2456913,0.017100506,-0.14021814,0.19312462,-0.35714662,-0.7134807,-0.15547302,-0.13206762,0.27559587,-0.43343967,0.04088895,-0.15034749,-0.10272632,0.20935075,-0.14526618,-0.15701613,-0.15272841,-0.3548998,0.10728416,-0.40983313,-0.027408836,-0.21404013,-0.6474296,0.9248196,0.18307047,-0.026839234,0.5588649,-0.98534596,0.18843465,-1.0112872,-0.22514343,0.5622203,-0.06232896,-0.17513064,0.1515666,0.2663257,-0.19832556,0.03232734,0.14028049,-0.21026476,0.4183984,-0.24580581,0.21322761,-0.22234294,-0.03877729,0.021137403,0.24305546,-0.3278396,-0.20836054,0.041449573,-0.0951279,-0.060810402,0.1643414,0.18670797,-0.041475363,0.53559446,-0.13071974,0.039822802,0.049636737,-0.19097564,-0.1255703,-0.25567615,0.039054453,-0.0089509785,-0.18255356,0.14068083,-0.16191322,-0.114750296,0.110598594,-0.122755796,0.05582589,0.20694292,0.04013206,-0.0824096,0.14124769,0.07109425,-0.09630023,0.44279346,0.0913148,0.07566617,-0.4397947,0.4504588,0.13861093,0.021323398,-0.039027683,-0.026956249,0.33782548,0.07451816,0.14689755,-0.58194005,-0.792611,-0.06355251,-0.27047014,-0.33079046,-0.5660068,-0.1700058,-0.4759522,0.40338424,-0.15366513,0.03393861,0.20727088,0.30573067,-0.44444206,0.43746036,1.0097039,0.19662616,-0.032745086,-0.16883704,-0.07781787,0.100112185,-0.20574947,0.2320683,0.35359377,-0.09126203
O75347,-0.1255413,0.09842043,-0.68553364,-0.22085907,0.07101929,0.04155194,-0.034482386,0.34349054,-0.18690978,-0.2665459,0.069587216,-0.09639333,-0.36531544,-0.075728364,0.27932885,-0.051042646,-0.13483104,0.27824613,-0.36291003,-0.61784303,-0.51783943,0.29524773,0.088099726,-0.83073044,-0.06580414,-0.17445639,0.10700491,0.14793438,-0.36833966,-0.2686574,-0.15997142,-0.18830043,-0.073098846,-0.30677044,0.17362812,-0.13377102,-0.6292395,0.79455817,0.11632286,-0.015208138,1.0316132,-0.6059088,0.1103756,-0.56171757,0.055652488,0.21803707,-0.04932993,0.14082006,0.20074883,0.18715931,-0.33115274,-0.14794211,0.09521575,-0.07270993,0.010386771,-0.25420094,0.13020927,-0.43195134,0.16365185,-0.09047845,-0.19429056,-0.0099247005,-0.17306387,-0.07919789,-0.22944582,-0.05203229,0.1002692,0.09584473,0.07900609,0.29607973,-0.052191854,0.04722283,-0.31448412,-0.27783868,0.0067247655,-0.3719846,0.05571261,0.19455245,-0.16867998,-0.16340274,-0.11288534,-0.29033667,0.010572769,-0.25282973,-0.11257569,0.38878125,-0.043973878,0.13499008,-0.036346048,-0.031755313,-0.31825018,0.44144815,0.13230956,0.020603448,-0.29626092,0.018459788,0.19335556,0.037706986,0.033484638,-0.067188054,0.3412341,-0.11138612,0.3162184,-0.52580565,-0.16980687,0.061598025,-0.078022614,-0.046155546,-0.42489204,-0.12654068,0.09898919,0.34704185,-0.10827518,-0.025694337,0.33878905,0.09811586,-0.43822235,0.24736786,0.5721904,-0.14398819,0.116367646,-0.109066345,-0.09391019,0.07488044,0.045000467,0.692945,-0.07379137,-0.23265657
P11655,-0.047789887,0.18443598,-0.768897,-0.24724142,0.258239,0.17625923,0.02448684,0.20442188,-0.0128233405,0.01744351,-0.08966884,0.33239672,-0.19901066,-0.16036086,0.34836173,-0.04496537,-0.18034615,0.21373814,-0.39160705,-0.5338974,-0.20631556,-0.05991888,0.18562494,-0.69489545,-0.029042026,-0.16237946,-0.15302365,0.07230806,-0.3484602,-0.11372018,-0.029748917,-0.42379138,-0.05568109,-0.4539962,-0.14045285,-0.042132977,-0.9246442,0.8638416,0.20381774,0.04080231,0.5788247,-0.8019015,0.16615243,-0.6685884,-0.388532,0.4797639,-0.023911715,-0.047781628,0.12627757,0.17738563,-0.19072534,0.14743806,0.11357629,-0.06766683,0.4467105,-0.08735301,0.04021029,-0.3040802,-0.14057605,-0.07911831,0.107621066,-0.19182886,-0.32128865,0.064032525,-0.10599261,0.08904406,0.043260824,0.012537797,0.037951197,0.23578703,-0.08846053,-0.029324243,-0.18851304,-0.27063558,-0.19516481,-0.46383,0.07000278,0.08414667,-0.20495771,0.06401818,-0.19060464,0.008734797,0.04242441,-0.08026798,-0.07680747,0.10643273,-0.1757998,-0.013145108,0.049240947,-0.051666398,-0.322386,0.4350089,0.022569323,0.17126477,-0.64003634,0.23001494,0.23606636,0.22245748,-0.060197826,0.050307225,0.42329264,-0.14091265,0.28594896,-0.66728944,-0.6478055,-0.09633299,-0.0021568686,-0.20698486,-0.35410452,-0.14162879,-0.17951918,0.32960668,-0.1549683,-0.0858892,0.24174058,0.31542635,-0.46190226,0.3874354,0.8182151,-0.00918134,-0.15844594,-0.14216831,0.008455321,0.13738453,-0.10839378,0.46699288,0.046569407,0.05252288
O95149,-0.06013917,0.15930773,-0.7042719,-0.07938493,0.18006618,0.16746089,-0.07827666,0.2786105,-0.037767567,-0.030705994,-0.045283258,0.029974746,-0.3170061,-0.123384,0.048073802,0.097669445,-0.10137673,0.23034824,-0.08029669,-0.40498537,-0.20991133,0.30508593,0.29896337,-0.96252936,-0.017026808,-0.16890435,-0.050350606,0.055811226,-0.28000835,-0.08647567,0.0448141,-0.3241227,0.034820464,-0.3686069,-0.08985759,-0.2804958,-0.7744693,0.6975794,0.24726054,-0.07411535,0.76429087,-0.7997101,0.26262024,-0.39382806,-0.051871113,0.3947976,0.010749614,-0.07344584,0.13269356,0.16051698,-0.17525184,0.032845687,0.08707189,-0.10917335,0.3067555,-0.1981379,0.099990346,-0.30524975,0.01768391,-0.23415278,-0.047574453,-0.21634611,-0.2644141,0.096932426,-0.15642636,-0.050213523,-0.07148077,-0.03624896,0.1280939,0.33931783,-0.03432914,-0.099335976,-0.19656625,-0.19493397,0.09960727,-0.3160384,0.012056866,0.17427659,0.00066515215,-0.079779305,-0.33364365,-0.3178242,0.12804501,-0.19511215,-0.049585365,0.2211187,-0.031372167,0.06571511,0.1250924,0.09606638,-0.13320132,0.47582704,0.18204035,0.067134775,-0.43348837,0.2592063,0.07860222,0.1462047,0.08181318,-0.1520476,0.41197172,-0.12120559,0.4073204,-0.6783967,-0.46919563,0.034664076,-0.07620571,-0.06625603,-0.48706362,-0.07083412,-0.109104,0.2464852,-0.09239956,-0.066769995,0.3383785,0.042924702,-0.45469648,0.26831397,0.6497304,-0.05380308,-0.010580527,-0.15767288,0.044979017,0.06954724,-0.15958993,0.505585,0.04096464,-0.11417029
P06132,-0.113392405,0.22123635,-0.68450016,-0.08924117,0.21112621,0.027621338,-0.17215282,0.079816476,-0.03746,0.07000034,0.17430747,0.10487819,-0.29018947,-0.1433172,0.103084266,0.07043295,-0.116614185,0.08355007,-0.15775235,-0.368349,-0.40282884,0.15820873,-0.036048293,-0.8925512,-0.028924337,-0.21499424,-0.10009688,-0.05248614,-0.24399112,-0.06330817,-0.084152274,-0.1743027,-0.077216715,-0.3493916,0.055568118,-0.23907776,-0.76266426,0.6150501,0.16501595,-0.060014125,0.7623108,-0.83028245,0.19319554,-0.21380806,-0.17398919,0.12722081,0.04013862,-0.014966567,-0.106941305,0.2052279,-0.028328786,-0.18167806,-0.07769064,-0.16849971,0.38649026,-0.030306444,-0.14820963,-0.2602629,0.103748314,-0.21220803,-0.06658394,-0.18722136,-0.308634,0.15357806,-0.12358119,0.11069433,0.04616328,-0.035735305,-0.10650823,0.13650839,-0.12963335,-0.1337258,-0.08357394,-0.16163419,-0.07611627,-0.4289993,0.09219086,0.14727788,-0.11813135,0.1189461,-0.42063335,-0.13690053,-0.078609675,0.019667923,0.033289976,0.3774836,-0.032998897,-0.17530827,0.05529501,0.090251096,-0.23230226,0.6574814,0.16987331,0.13749205,-0.2972724,0.26336366,0.05147971,0.10307608,0.0019091716,-0.07733061,0.38666555,-0.23978072,0.42899927,-0.5912878,-0.5051241,-0.022936484,-0.018908063,-0.18496008,-0.49954653,-0.1346669,-0.32387438,0.22210509,-0.23888,-0.0812678,0.4098877,0.07923225,-0.60994333,0.27744147,0.74186915,-0.12041477,0.014292844,-0.18916498,0.15762769,0.14982136,-0.09450793,0.57588625,-0.004564648,-0.10167269
B4XT64,-0.056027666,0.14328675,-0.7721133,-0.007138446,0.17150588,-0.09189208,-0.17736666,0.28914672,-0.10851428,-0.09908071,0.11039615,-0.0071880594,-0.18823473,-0.24722297,0.24932063,0.03367856,-0.17886725,0.2581936,-0.11480979,-0.60927486,-0.5341463,0.30699942,0.04654494,-1.1098356,0.012510717,-0.22200178,-0.10962296,0.12579742,-0.35298634,-0.16111758,-0.06704417,-0.10841671,-0.052093565,-0.37899005,0.135278,-0.23751193,-0.783165,0.7740664,-0.027550474,0.005756043,0.9331315,-0.58725715,0.08616501,-0.24479957,0.00090967864,0.28077108,0.10096167,0.17925578,0.09531966,0.2488068,-0.34854776,-0.27401966,0.063768044,-0.08892068,0.18617773,-0.061094537,0.08906263,-0.37416178,0.21197528,-0.21708307,-0.169141,-0.08155081,-0.30629918,0.07176082,-0.08984172,-0.048192814,-0.16681883,-0.003144443,0.11536584,0.33989176,-0.32464802,-0.10298473,-0.36513248,-0.2346462,-0.1244742,-0.30371875,0.22216319,0.26841164,-0.11024775,-0.006320402,-0.1792571,-0.20594019,-0.07761973,-0.23952118,0.08984271,0.51222557,-0.016641788,0.11212198,0.058729295,0.024622604,-0.39522582,0.37123114,0.11774002,0.00091932714,-0.25585476,0.03391824,0.13904238,-0.13001123,0.18395509,0.068083316,0.5533656,-0.21181092,0.41693783,-0.72814226,-0.40001395,-0.04884624,0.05120735,-0.18642205,-0.39395088,-0.122810096,0.07627756,0.34465522,-0.18916212,-0.19322841,0.36392933,0.06491284,-0.2877594,0.31747255,0.63062656,-0.14567155,0.031560082,-0.2605884,-0.04624661,-0.024334185,0.066918574,0.6126102,0.0072866306,-0.117966235
O75604,0.025514662,0.22720441,-0.93529624,0.04238952,0.15494195,0.12248977,-0.023381388,0.13451819,0.09510178,0.13097121,-0.1013334,0.0716805,-0.5757399,0.09502371,0.30366322,0.007535574,-0.018880624,0.19182494,-0.16955309,-0.25138694,-0.18188335,0.13278261,0.30678058,-0.84900695,0.0013500035,-0.13772446,-0.0069624633,0.060937714,-0.2550017,-0.0938105,0.013285199,-0.32836366,0.0014608562,-0.5239346,0.09237578,-0.031234816,-0.76827127,0.4575203,0.023172889,-0.09037028,0.7224701,-0.745649,0.13832922,-0.4165768,0.07134829,0.22927761,0.09463458,-0.099414006,0.120672405,0.13452695,-0.1748474,0.023715708,0.030069208,-0.09435984,0.48328352,-0.1605202,-0.02320076,-0.20662124,0.03983157,-0.18262705,-0.07875236,-0.19902709,-0.43442327,0.0053921924,-0.23957363,0.14920668,0.09779273,-0.13150933,0.12566224,0.107988395,-0.04468883,-0.22207725,-0.13218182,-0.10609692,0.027355481,-0.5295295,0.156161,0.0786302,-0.07078882,0.011954233,-0.36681384,-0.13187154,0.048174255,-0.10647459,-0.20147714,0.45755777,-0.009588433,0.06125643,0.021511301,-0.013479782,-0.22856614,0.53818554,0.13515763,0.008849287,-0.46851858,0.25534716,0.3169838,0.0022984117,0.005629164,0.004914562,0.3622709,-0.4709567,0.2812404,-0.48102817,-0.47832698,-0.03766378,0.108025834,-0.022247363,-0.22368112,-0.14219765,-0.2467906,0.23479,-0.22356915,-0.041032474,0.35990825,0.111954495,-0.49823523,0.41272026,0.6575986,-0.14679094,0.08543658,-0.082835235,0.17679314,0.20347545,0.0017085358,0.7677855,-0.06722651,-0.054066718
P26639,-0.013257593,0.13290052,-0.831676,-0.26046523,0.075445436,-0.0153872315,-0.076104924,0.15049785,-0.15395859,-0.059095792,-0.08487557,-0.014967872,-0.36705405,-0.08599935,0.14407755,-0.03314923,-0.12410109,0.12980174,-0.2879747,-0.43775734,-0.15600318,0.15835531,0.2460812,-0.6860201,0.020314753,-0.11058736,-0.09744481,0.099092096,-0.24061835,-0.048435986,-0.111338064,-0.25804543,-0.09836501,-0.37860295,-0.06315447,-0.22949901,-0.8188081,0.6659032,0.12605685,-0.105826,0.72797406,-0.8507059,0.07799435,-0.4058507,0.017968755,0.04212163,0.04166631,-0.026614767,0.036181163,0.032162838,-0.01769491,-0.09537929,0.12856176,0.04318101,0.45513225,0.011667414,0.06440585,-0.22880907,0.10267906,-0.1358272,-0.2129051,-0.30232507,-0.18612237,-0.05569305,-0.23574884,0.10223824,0.053600073,0.027429834,0.027975177,0.15453233,-0.034883466,-0.16743949,-0.06822944,-0.24747398,-0.10310982,-0.50455725,0.16147193,0.081743434,-0.107478715,0.041641187,-0.06144882,-0.1377625,0.0032877387,-0.28194147,-0.28744203,0.385238,-0.14951858,-0.054593395,0.108979724,0.10453167,-0.26601118,0.67200243,-0.026148546,-0.059052013,-0.6178735,0.26514214,0.16181235,0.21843381,0.0402955,-0.17653866,0.46155468,-0.26854444,0.38635314,-0.5562142,-0.5707428,-0.15033966,0.069138594,0.08479452,-0.4753406,-0.12016295,-0.08246108,0.16864148,-0.15342239,-0.08087139,0.28542504,0.06996143,-0.478158,0.34564906,0.76124585,-0.102272354,-0.048373412,-0.005099684,0.052740134,0.19663383,-0.012969678,0.5003411,0.053219773,-0.26741797
P12425,-0.044463564,-0.031917766,-0.69548225,-0.064566314,0.23901641,0.030375384,0.027627114,0.07048227,-0.07036777,-0.05988778,0.14984238,0.14584091,-0.23625943,0.11043053,0.26369092,0.08741918,-0.09935015,0.25688237,-0.07815385,-0.53029585,-0.30301487,0.11986445,0.08716378,-0.6601052,0.053425204,-0.13591339,0.018798724,-0.018250078,-0.059566107,0.0062198713,0.034912378,0.094932675,-0.11523726,-0.30525333,0.07889919,-0.059257194,-0.8451261,0.45676047,0.10873323,-0.052464217,0.7099644,-0.8382103,0.07532402,-0.69999963,-0.24687588,0.26329058,0.058492362,-0.075874224,0.04766444,0.13814339,0.013893863,0.0045627095,0.11788671,-0.10611647,0.4149952,0.041020535,0.2201753,-0.28986442,0.1522472,0.0036135986,-0.032319285,-0.03550118,-0.34609663,0.09679336,-0.19617133,0.0010792837,-0.12572916,0.03467885,0.049453646,0.10200659,-0.08683331,-0.30751222,0.09913406,-0.16832066,0.031336866,-0.3283659,-0.0009228429,-0.0679301,0.011415549,-0.19875503,-0.28602502,-0.07456875,0.019349605,0.033943444,-0.2540374,0.42408073,-0.07263089,-0.06558883,0.009106332,0.020742115,-0.12060977,0.6506353,0.054908298,-0.110076755,-0.4413001,0.42396253,0.10194976,0.030515112,0.09379535,-0.049581803,0.4729727,-0.29265332,0.18043073,-0.59673214,-0.32045203,0.0446072,-0.075300016,-0.19436763,-0.2996735,-0.10273329,-0.016754799,0.16699207,-0.0744424,0.029019132,0.24957675,0.13450497,-0.5447121,0.18149848,0.53118,-0.072955266,-0.078229256,0.039805174,-0.028768893,0.16837978,-0.1238601,0.6084731,0.080083475,-0.046687484
O76095,-0.13203713,0.14837533,-0.6735767,-0.07640062,0.17096815,0.05210205,0.043541394,0.34126493,-0.07839461,-0.12635195,0.05035792,0.13473025,-0.4380737,-0.24453735,0.16910365,0.25481817,-0.038695037,0.29907888,-0.18746462,-0.36218107,-0.32953784,0.41751426,0.09491892,-0.7815515,-0.022314966,-0.03208779,-0.12766923,0.2839746,-0.3246507,-0.13944061,0.013594893,-0.1511106,0.1289474,-0.39437097,-0.08468606,-0.25645941,-0.9988799,0.70248324,-0.04004898,-0.00171559,0.83700293,-0.78004533,0.19724402,-0.5411187,-0.11409143,0.36062893,-0.05123222,0.015248281,0.21391408,0.12548263,-0.19350561,-0.029496472,0.1418864,-0.16927063,0.38274693,-0.14463197,0.067116246,-0.27270097,0.19234967,-0.09345049,-0.09963183,-0.10978003,-0.19346805,0.08441078,-0.22092047,-0.053598385,-0.018193394,-0.11307883,0.09661835,0.32961586,-0.09536097,-0.21403912,-0.09594103,-0.3199951,-0.05087589,-0.17904997,0.07264469,0.028973013,0.17072883,-0.13078381,-0.19601376,-0.22625442,-0.011423727,-0.22159341,-0.08939378,0.3601063,-0.11918338,0.005096248,0.18913333,-0.009806615,-0.28992134,0.6168841,0.15056556,-0.14579408,-0.44957405,0.3122159,0.13558534,0.13319351,0.16592543,-0.015379819,0.4236044,-0.19959489,0.32415944,-0.70462894,-0.3613129,0.052894156,-0.05666548,-0.15502933,-0.4020415,-0.08668408,0.042327836,0.23388478,-0.07013388,-0.056101225,0.326855,0.15252274,-0.35975987,0.26275128,0.5632272,-0.08567208,0.0558981,-0.1438086,-0.09552568,0.14461999,-0.07517816,0.5249114,-0.0055118026,-0.14116602
