accession_code,ProstT5_64_dim_0,ProstT5_64_dim_1,ProstT5_64_dim_2,ProstT5_64_dim_3,ProstT5_64_dim_4,ProstT5_64_dim_5,ProstT5_64_dim_6,ProstT5_64_dim_7,ProstT5_64_dim_8,ProstT5_64_dim_9,ProstT5_64_dim_10,ProstT5_64_dim_11,ProstT5_64_dim_12,ProstT5_64_dim_13,ProstT5_64_dim_14,ProstT5_64_dim_15,ProstT5_64_dim_16,ProstT5_64_dim_17,ProstT5_64_dim_18,ProstT5_64_dim_19,ProstT5_64_dim_20,ProstT5_64_dim_21,ProstT5_64_dim_22,ProstT5_64_dim_23,ProstT5_64_dim_24,ProstT5_64_dim_25,ProstT5_64_dim_26,ProstT5_64_dim_27,ProstT5_64_dim_28,ProstT5_64_dim_29,ProstT5_64_dim_30,ProstT5_64_dim_31,ProstT5_64_dim_32,ProstT5_64_dim_33,ProstT5_64_dim_34,ProstT5_64_dim_35,ProstT5_64_dim_36,ProstT5_64_dim_37,ProstT5_64_dim_38,ProstT5_64_dim_39,ProstT5_64_dim_40,ProstT5_64_dim_41,ProstT5_64_dim_42,ProstT5_64_dim_43,ProstT5_64_dim_44,ProstT5_64_dim_45,ProstT5_64_dim_46,ProstT5_64_dim_47,ProstT5_64_dim_48,ProstT5_64_dim_49,ProstT5_64_dim_50,ProstT5_64_dim_51,ProstT5_64_dim_52,ProstT5_64_dim_53,ProstT5_64_dim_54,ProstT5_64_dim_55,ProstT5_64_dim_56,ProstT5_64_dim_57,ProstT5_64_dim_58,ProstT5_64_dim_59,ProstT5_64_dim_60,ProstT5_64_dim_61,ProstT5_64_dim_62,ProstT5_64_dim_63
P02686,0.10714616,-0.05991686,0.31844896,0.26848137,0.0013384782,-0.04651671,0.2171869,-0.15852007,-0.20886019,0.08538433,-0.11334585,-0.06615554,0.22535694,-0.2028546,0.24667388,-0.23192392,-0.05071094,-0.13719189,0.10140599,-0.086873814,-0.03638794,-0.20737308,0.28215513,-0.058738325,-0.12569124,-0.093427606,0.00060950965,0.0038403869,-0.4837098,-0.18942766,0.22342734,-0.025020402,-0.05761809,0.07853961,-0.2532404,-0.09247239,0.090760164,-0.10220298,0.23948988,0.06914202,-0.10059985,-0.025634916,-0.03514597,0.113587596,0.16653956,0.24862124,0.02667926,-0.020007543,0.10812859,-0.17982149,0.36464962,-0.051866777,-0.15567502,-0.026769111,0.11301184,0.20353462,-0.054717757,-0.1808005,0.079238415,0.07696275,0.029051425,0.20837572,-0.024546623,-0.21213104
P02747,0.15499955,-0.05261636,0.06255727,0.057055503,0.074549496,0.01669126,0.11608693,0.13758792,-0.008418288,0.32520792,0.041714795,0.25180572,0.17007437,0.0725495,0.22426206,0.14990342,0.06908825,0.029186092,0.098043844,0.1990876,-0.16496252,0.074975744,-0.29479358,-0.1020421,0.059484147,0.12449736,0.24611428,-0.30435926,0.0002311049,-0.017999332,0.13852789,-0.043640476,0.13436645,-0.032366186,-0.10718569,-0.047246657,0.18435532,-0.0057006627,0.24102679,-0.13833931,0.16468999,0.18010396,0.093717195,0.0656054,0.0750929,-0.022784226,0.12989233,0.14086412,-0.1406438,-0.01542937,-0.2157204,0.32382125,-0.15201536,-0.3605165,0.23384881,-0.23879631,0.12335209,0.1873723,0.052702785,-0.041841142,-0.092463516,0.10724601,-0.10149983,-0.006804887
Q15428,-0.10532919,0.01214254,0.1311456,0.12100482,0.059915606,-0.030516192,-0.13273652,0.44827244,-0.07827092,0.3012122,0.04338441,0.1954861,0.19416812,0.057065707,0.04556308,0.3711883,0.034410905,-0.048876964,0.119646594,0.13546127,0.15551981,0.051796176,-0.29428285,0.01220536,0.023714148,-0.116515845,0.21188837,-0.014908109,0.19215494,0.0050578546,-0.035122067,0.023956094,0.021751266,-0.3322306,-0.16936913,-0.0052592754,0.033173174,-0.022067674,0.18852097,-0.24425858,-0.07641729,-0.078531206,-0.030040056,-0.14354447,-0.062231913,-0.07539277,0.16684796,0.14008051,-0.040748697,-0.0683881,-0.047190893,0.051910084,-0.013887472,-0.20959577,0.12492971,-0.18207505,-0.12411193,0.06763576,-0.010007329,0.30745703,-0.06598354,0.1333541,-0.4313905,-0.019897131
O95429,-0.05151678,-0.02201143,0.16345042,0.57076555,0.08620988,-0.0771044,0.25836122,0.19741973,-0.33980814,-0.10772384,-0.11122119,0.113901034,0.1382021,-0.11355681,0.4833117,0.22320026,0.19363348,0.043978266,0.11330739,0.15366067,0.12002863,0.08151733,-0.10899182,0.01412989,-0.022664962,0.045443244,-0.14122093,0.07412788,-0.1744147,0.33089086,-0.069137685,0.029317297,0.20311865,-0.11864385,-0.12160642,0.09826714,0.20146535,-0.012315948,0.3360111,-0.08199936,-0.19747841,0.16018431,0.01986086,0.07091791,-0.04456754,0.14012721,0.16776371,0.037510294,0.17833306,-0.11202006,0.34540468,-0.055651326,0.06908928,-0.33133265,0.22436993,0.16608377,0.11754302,0.047885977,-0.2253162,0.216378,-0.15726404,0.18638468,-0.2843153,-0.012589464
P0AFW0,0.20181382,0.061638415,-0.05029308,-0.1824238,0.0813725,0.014638543,-0.01433228,0.25877318,0.2807122,0.014339518,-0.05325359,0.1441173,-0.09944006,0.022189934,-0.011462942,-0.20109491,0.013596788,0.0445913,-0.02498823,-0.07245456,-0.1317646,-0.059079833,0.15511245,-0.023617355,-0.02777254,0.13692805,-0.04808911,-0.06823964,0.010761846,-0.3743063,-0.12885399,-0.012694822,0.10267371,0.001929393,0.0830303,-0.0478552,-0.025876319,-0.0629586,0.01989898,0.042875018,0.06100969,-0.0100939665,0.13037196,-0.04532079,0.095488496,0.0020681173,-0.08204245,0.1431477,-0.05525937,0.23699561,-0.26260474,-0.0933965,-0.047163762,0.041337825,0.08785172,0.14743134,0.0018015429,0.184228,-0.021456879,-0.09051127,-0.10793105,0.049485534,-0.20397785,-0.0698418
P06821,0.09595112,-0.014925658,0.003927119,-0.0784782,-0.07230736,-0.007735111,0.25499988,-0.31483036,0.2463546,0.21662256,-0.072632834,-0.113111824,0.24892387,-0.08448425,0.19233426,-0.347063,-0.2567398,-0.075290516,0.100613534,0.027713828,-0.17251277,-0.10811614,0.12389051,-0.099123314,0.06394092,-0.082302086,-0.10607224,-0.20077379,-0.4266972,-0.039084844,0.19905967,0.055600945,-0.21458897,-0.025084134,-0.093704894,-0.045501783,-0.21178964,-0.21308616,-0.0584884,0.12505841,0.22260001,-0.07073913,0.014955136,-0.04958526,0.11911166,0.1336873,-0.124262,0.118841566,0.0052520186,0.13518953,-0.0041616596,-0.021073218,0.06127627,0.07087169,-0.113064885,0.30370003,-0.097582415,0.17797852,-0.06255935,-0.024557788,0.03222999,0.14627779,0.026973352,-0.21100186
O08807,-0.028656268,0.02114473,0.12632695,-0.103900105,0.13387096,0.06672267,0.3193887,-0.2274799,-0.036562193,-0.152782,-0.021444267,-0.15225755,-0.03675691,-0.10171195,0.18438902,0.03183727,0.07634701,0.017574102,-0.0018948875,-0.008410573,-0.09158619,0.088157356,-0.20710778,-0.0137537625,-0.026358077,0.061655052,-0.057791807,0.002561897,0.25197175,-0.08535688,0.079622716,-0.03529423,-0.0048754252,0.07041223,0.024492651,-0.12551028,-0.06558126,-0.13282195,0.033101425,0.1364393,0.009181142,0.11216286,0.02342428,-0.031232962,-0.08258788,0.06772195,-0.020672522,-0.13314682,-0.12035404,0.014159046,-0.046211217,-0.18043916,0.03293453,0.028652847,0.07717364,-0.07485865,0.20247418,-0.0038109422,-0.14715557,-0.15059906,0.10577837,0.104915164,0.17784631,-0.049033195
Q7NBZ0,0.105712235,0.03483422,-0.14033885,-0.24379317,0.029884161,-0.060114026,-0.028183922,0.07273208,0.14237121,-0.057164546,0.0052552465,-0.06756413,-0.07704262,0.087536536,-0.009129971,0.039645657,0.014278136,0.10614411,-0.043005843,-0.019864008,-0.05662654,-0.0145496605,0.21072353,-0.025981667,-0.11882795,0.10069043,-0.020489626,0.011239752,0.15056919,-0.31348467,-0.033008642,-0.047857292,-0.11460738,-0.010036146,0.08005111,0.022046886,0.06474725,0.0983884,-0.107315704,0.02840336,0.112424046,-0.00320776,0.026492804,-0.0050843023,-0.04333336,-0.00022468716,-0.06550611,0.12438292,-0.07892871,0.114282705,-0.006870646,-0.16618207,-0.0037759766,0.0051223896,0.026695851,-0.09378007,0.08123473,-0.1279929,-0.12570643,-0.18926239,-0.015615175,0.01627668,0.104255654,0.15952052
O94913,-0.107098825,-0.0060033435,0.13555798,0.24845843,-0.0070265904,-0.087701924,0.14272885,-0.093393885,-0.48626295,-0.18702045,-0.121774934,-0.10964441,0.042599346,-0.037713494,0.11915082,0.19898283,-0.023665577,0.05373826,0.0556364,0.13477331,0.034305356,-0.053632624,0.07000993,0.034882307,-0.07725114,-0.022442564,-0.17873478,0.18663801,0.045085143,0.20024383,0.020334305,-0.018454742,-0.08997079,-0.13224196,-0.034871884,0.07573761,0.23570797,0.009414714,0.064109206,-0.080872394,-0.11842375,0.044017583,-0.12601677,0.032406606,-0.05247148,0.015702948,0.16494307,0.070653036,0.07088907,-0.12824515,0.27586964,-0.0779051,0.37909257,-0.16810352,0.07242125,0.039277807,-0.066960104,0.019799627,-0.17934205,0.13534346,-0.1100636,-0.010388613,-0.25741744,0.14775035
P16333,0.25104004,-0.066724464,0.098997705,-0.06524194,0.076255366,-0.101980545,0.03343501,0.1466886,0.02384326,0.020766214,0.12383002,-0.010635186,-0.08430704,0.040225174,0.034705635,-0.14964014,0.13161075,-0.09407447,-0.081608355,-0.06605485,-0.018628385,-0.101756014,0.14571095,-0.06741517,-0.104128115,0.09315667,-0.1833652,0.05061602,0.16865318,-0.22682615,0.02935158,-0.082294434,0.20540825,0.03621916,-0.06327093,-0.15794975,0.13678691,-0.002983544,0.08777256,0.017245864,-0.19969362,-0.0070829196,0.017825667,-0.07755217,0.038697638,0.02773554,-0.03808549,-0.034070842,0.08567159,-0.031439427,-0.068708465,-0.18342036,-0.025660627,0.09434957,-0.01124803,-0.018371314,-0.0807262,0.109678306,0.025570864,0.01014699,0.007148577,-0.01621987,-0.09563397,0.005623565
