UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
P11827,0.07655732,0.12988257,-0.07026906,-0.089823715,-0.009091906,-0.16724026,0.06851361,0.3268992,-0.1485393,0.25151882,-0.0822884,-0.20614584,0.20193757,-0.17462972,0.058234766,0.02200827,-0.087242305,-0.40856874,0.041089654,0.04751247,-0.15809682,0.021490276,-0.16713414,-0.4365492,-0.02055119,0.068932295,0.06420664,-0.15063661,0.024324685,0.022167187,0.067587875,0.078384295,-0.20974495,0.07052276,0.09390737,-0.09395303,0.056864098,-0.05846603,0.218923,-0.14155297,0.10698767,0.16173178,-0.13654982,-0.24075007,0.038497433,-0.09304339,0.13460445,0.11426501,0.15818739,-0.010404428,-0.017674938,-0.04989655,-0.0072377846,0.028636709,0.09609081,0.11270808,0.12476124,-0.29906866,-0.066451296,0.17925258,-0.11240679,-0.053344302,-0.022880252,0.22793788
O75347,0.0054841475,-0.034130476,-0.08040704,0.03575312,0.0019253589,-0.06992106,0.006312306,-0.08573735,-0.21401007,-0.075021796,0.044822205,-0.11102207,-0.055248044,-0.08272458,0.05002591,-0.2689653,0.06902427,-0.20103255,0.07995893,0.07717134,0.22748196,0.04004311,-0.059844077,-0.076253116,-0.124206126,-0.21237879,-0.021906326,0.0940603,0.01146703,0.014823919,-0.1304591,0.001535061,-0.05850131,-0.020187307,-0.10610571,-0.064220116,-0.041087978,0.006864858,-0.11687146,0.09994651,0.02916502,-0.044901934,-0.005475427,-0.0100867925,-0.057339627,-0.060170412,0.046618924,0.056160063,0.018618837,-0.005106098,-0.017386062,-0.08303786,-0.017252078,-0.035257593,-0.02355322,0.015463668,-0.08028124,-0.56149733,0.093274355,0.008078596,-0.009888554,-0.046930596,0.10101433,-0.032053676
P11655,-0.009727225,-0.051489197,-0.13920976,-0.03838194,0.0072794184,0.0112672895,0.022947107,0.16094057,-0.11276859,0.099095166,-0.019751031,-0.08179492,0.118080646,-0.114820585,-0.0480556,-0.06739585,0.016048457,-0.44924745,0.114484444,0.02000875,-0.14425643,-0.06869756,-0.059521332,-0.30358696,0.040162496,0.0700777,0.11758596,-0.11371732,0.053400084,0.025188105,0.15900353,-0.058541805,-0.10179276,-0.043205556,-0.04407486,0.02177012,0.04157801,0.03353341,0.13014773,-0.108661845,0.0019560615,-0.030586801,-0.12879464,-0.07887813,0.015145991,-0.1134163,-0.0009390451,0.01214385,-0.042608477,-0.005771707,-0.041511487,-0.16309835,0.04168375,-0.009586027,0.010359643,0.002133835,0.038335983,-0.4995667,0.00094641745,-0.043997828,-0.08829659,-0.024827704,-0.03667125,0.09980237
O95149,-0.07692032,0.11782605,0.021813687,0.039443586,-0.02771674,-0.05848166,-0.06473043,0.17227271,-0.08352486,-0.0074738488,0.02062562,-0.04413868,0.058032025,0.057914272,0.041191403,-0.14839643,0.004764034,-0.21396919,0.12266871,-0.024777573,0.14718853,-0.057986423,-0.022968704,0.042593967,-0.0416039,-0.014358559,0.015553981,0.0088619795,0.06138059,0.022273459,-0.119761616,-0.012698224,0.05510125,-0.070728295,0.066584475,0.0043862606,0.02565673,0.0008913692,0.12607624,-0.018745257,0.065736786,0.013942198,-0.019232225,0.0033709013,0.023084296,-0.003191717,0.060701814,-0.02376582,-0.031353876,-0.0036691672,-0.08319043,0.0717331,0.0043459195,0.037119742,-0.019099368,0.041542593,0.06040449,-0.5304389,-0.05743437,0.009043217,-0.059631046,0.013141333,0.019479826,0.15321337
P06132,-0.066175014,-0.026201945,0.108450174,0.08309955,0.082014054,-0.09360345,0.0066386512,0.16345684,0.038179655,0.034251876,0.027377868,-0.07918385,-0.03084155,-0.09803504,0.06338257,0.116438724,0.06558489,0.061890643,-0.06921242,0.0701607,0.23787865,0.028110022,-0.024662355,0.03833615,0.008312616,-0.056081146,0.119753025,-0.12761426,-0.001550752,0.018051248,-0.009773833,-0.058751334,0.14264396,-0.10615049,0.015279914,0.032331463,0.056051075,0.12897174,0.07846709,-0.01233123,0.035987087,0.03741754,-0.036494922,-0.007628107,-0.021203926,0.0037059516,0.030434757,-0.019716624,0.039474208,0.0029192404,-0.17163202,0.05000637,-0.03823944,-0.012236411,0.009723509,0.024728518,-0.0140322205,-0.4501142,0.038536705,0.26110998,-0.0990573,-0.011618735,0.00565328,-0.20091546
B4XT64,0.06529266,-0.09627535,-0.10646436,-0.0010286272,0.026130157,-0.004454831,-0.055186164,0.012661479,-0.013547729,-0.034637768,0.014189779,0.015065923,-0.19760369,-0.08974677,0.0033805668,-0.021588868,0.022443743,-0.056111515,-0.046233,-0.03761599,0.3665599,0.082880095,0.07491412,-0.015262338,0.0045958483,-0.066995226,0.060646847,0.15566164,-0.04066758,0.017399332,-0.038856756,-0.03823394,0.08219815,-0.023300758,-0.17378704,-0.0064273723,0.032635003,-0.0028201963,0.09668469,0.014509232,-0.07003482,-0.04993378,0.016478954,-0.06544686,0.010946505,-0.03698805,-0.038483303,-0.04580981,0.11033695,-0.0016621249,0.020617215,-0.050623734,0.04756291,0.007725379,0.07612888,0.015996449,0.021411896,-0.40410957,-0.028076032,0.026945794,-0.06415578,0.02002226,0.035199266,-0.009433877
O75604,-0.09165064,-0.057385992,-0.018719217,-0.011221558,-0.00840907,-0.024913777,0.10869759,0.08821561,0.03083475,0.029096738,-0.013407344,-0.0187666,-0.039379835,-0.02147245,0.04135703,0.089879505,0.062742576,0.04441453,-0.00513557,0.0636629,0.004498315,-0.005272062,0.00620642,-0.119691074,0.0031656295,-0.08420845,-0.08894949,0.000719592,0.01693279,0.024488997,0.08551345,-0.023676356,-0.09002755,2.8461218e-06,0.0060762926,-0.05154953,0.087311134,0.055895694,0.15898433,-0.018378403,0.029359007,-0.02672423,-0.048474655,-0.009426047,-0.061828375,-0.08577326,0.039247327,0.025370294,-0.0321761,0.0011552197,-0.016718684,0.02241757,0.04422029,-0.00974605,-0.0012260869,0.054073136,0.02691483,-0.6670345,-0.027380815,0.046891235,-0.09405725,-0.040869106,0.022482723,0.035392575
P26639,-0.046411518,-0.083524466,-0.04781312,0.06340407,-0.054005105,-0.07510061,0.0008348494,0.042527795,0.015468116,0.05860303,0.1279942,-0.06064172,0.08486456,0.01285402,0.08578081,-0.11962464,0.05261797,-0.25296032,0.14320834,0.004764592,0.066205576,-0.094349205,0.009463764,0.034088615,-0.049393486,0.030800318,-0.1379359,0.03726468,0.044650447,0.022772929,0.04418804,0.14603357,0.021285383,0.11810293,-0.077922486,-0.07310567,-0.07428902,-0.0137570165,0.19636719,-0.030925713,0.022073766,-0.039235774,-0.069852285,0.028035164,0.075328566,0.0056671337,0.0894154,0.062011946,-0.008818959,-0.00019130514,-0.16318025,-0.11239416,0.048812628,0.051394228,0.033896744,0.11394445,0.012995879,-0.5512937,0.11756585,0.11386033,-0.07930849,-0.020460127,0.03851379,-0.022272587
P12425,-0.01566265,-0.10127553,-0.0032544036,0.06471125,-0.01974374,-0.032482523,-0.028227309,0.008795571,0.06935961,0.13173412,-0.0054049813,-0.061877534,-0.047771014,-0.0108212475,-0.07136784,0.04116495,-0.04877391,-0.13411033,0.04781978,0.03212991,0.18780594,-0.011828884,0.12133115,0.018195651,-0.0025395388,0.014694797,-0.09979761,0.027332094,0.04582786,0.020264827,0.0012355944,-0.034789033,-0.009346624,0.012996199,-0.13025844,0.028842159,0.022229485,-0.023241801,-0.010423948,-0.026294844,0.022988327,-0.030949686,-0.012654607,-0.019950531,0.01722608,-0.0069565345,0.03486167,-0.11966467,0.14673226,-0.0019859474,0.006152017,0.0028529158,-0.0284362,0.008395746,-0.14347498,-0.021125458,-0.020276375,-0.5182815,-0.035445053,0.034430902,0.00020019876,-0.008999435,0.027351648,-0.07996239
O76095,-0.058283515,0.00023796037,-0.050719794,0.058375034,-0.016173078,0.055578314,-0.028622635,0.12620899,-0.06388011,-0.050053336,0.0048830016,-0.062128462,-0.18544732,-0.13095538,0.07080278,-0.035288364,0.028173164,-0.05852448,0.00032725395,-0.024638463,0.22720659,-0.02820903,-0.098128214,-0.08561416,-0.031465553,0.024780568,0.008211814,0.018356953,0.072712675,0.019628754,-0.022771012,0.03435114,-0.046552774,0.04296036,0.02979295,0.02128689,0.12839681,0.08664054,0.034493774,-0.07862596,-0.00058071874,-0.032744363,-0.006050471,-0.064955786,-0.07315912,0.007492625,0.027878381,-0.09499081,0.013299871,-0.0033767368,-0.022123717,-0.06048912,-0.053795118,0.11874938,0.015249784,0.0047007743,-0.020688929,-0.5235834,-0.026260097,0.047176376,-0.038903527,0.023786616,-0.014574261,-0.0334919
