UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P11827,-0.04349233,0.090764545,-0.013739141,-0.013096163,0.0089493785,-0.010719678,-0.04679118,0.016220778,-0.0081084315,0.019189883,0.054662373,0.016097283,0.08664027,0.0042688977,-0.023338892,-0.0626854,-0.020052183,-0.09882735,-0.06657536,0.13539472,-0.06660785,-0.00027679442,0.05278185,-0.062921524,0.14175723,-0.04216478,-0.097088754,-0.0051246257,0.02326628,-0.022590293,0.091668196,0.041227706
O75347,-0.028886933,0.09859413,-0.012905793,-0.018457253,-0.016200086,-0.016811868,-0.019753162,0.025502438,-0.034841955,0.0076666856,0.057527017,0.017356109,0.10450473,0.01955679,-0.011069971,-0.033233292,-0.009331296,-0.07046802,-0.037867658,0.12560356,-0.02706188,0.012296094,0.043879632,-0.050190426,0.11791159,-0.018801134,-0.091859534,0.0004939042,-0.018062335,-0.0031067089,0.06377616,0.043286227
P11655,-0.026938789,0.104121685,-0.016930493,-0.010248253,-0.0015675831,-0.005612499,-0.02605222,0.037956834,-0.009873274,0.0037095584,0.06346396,0.021565503,0.09857915,0.019957468,-0.020501455,-0.040964667,-0.0016154516,-0.06704088,-0.05297512,0.12480691,-0.044714183,0.013249072,0.054698195,-0.061232675,0.12862517,-0.03289867,-0.10788973,0.0029159472,0.004533161,-0.020401124,0.08015067,0.02929673
O95149,-0.018217124,0.105440386,-0.026746802,-0.009158506,-0.0092345765,-0.011241525,-0.014276979,0.033313937,-0.026543649,0.018259881,0.06673911,0.019624976,0.08736916,0.019755127,-0.006170678,-0.03042122,-0.006017344,-0.06505193,-0.03326868,0.119024515,-0.03405496,0.0033402776,0.042142536,-0.053573612,0.11998465,-0.0198969,-0.10113458,0.012980204,-0.0066893813,-0.012910888,0.07018924,0.04801068
P06132,-0.018541524,0.10574107,-0.007256654,-0.009484151,-0.019487152,-0.012958696,0.009935653,0.024631564,-0.024702575,0.014806956,0.06648826,0.020503014,0.111291625,0.02244275,-0.00688833,-0.015561467,0.0006341759,-0.044353295,-0.01606692,0.119279936,-0.017282303,0.0032369446,0.05840199,-0.05861746,0.09682729,-0.03062437,-0.106446564,0.010167562,-0.03290361,-0.03772722,0.052353226,0.02907272
B4XT64,-0.027588313,0.097180486,-0.0041309767,-0.0015363389,-0.020428255,-0.010965187,-0.011008762,0.035463948,-0.030315505,0.023758197,0.066128775,0.008705041,0.099682964,0.024117157,-0.014258171,-0.016895024,0.0010890559,-0.060567666,-0.018391462,0.11611385,-0.017285964,0.003757255,0.05068026,-0.04662441,0.1060468,-0.014602076,-0.09952629,0.005299645,-0.016660029,-0.019742383,0.06964121,0.03069306
O75604,-0.010215947,0.120938316,-0.016949259,-0.00080159307,-0.014729428,-0.0106562665,-0.00192971,0.034238353,-0.018454567,0.0032761064,0.06547375,0.03583568,0.09980499,0.019274442,-0.0033101675,-0.021518376,-0.0070438907,-0.05202006,-0.035880916,0.11414893,-0.02163899,0.013972551,0.06684604,-0.06710367,0.10574931,-0.03535578,-0.102309324,0.011356469,-0.015780617,-0.027072374,0.06832938,0.02275604
P26639,-0.029096259,0.11077992,-0.016435953,-0.019496473,-0.014596754,-0.007867992,-0.016074784,0.04466963,-0.023810402,0.0026393086,0.054313794,0.028475633,0.10856307,0.019805638,-0.014492395,-0.032218922,-0.006201888,-0.04912004,-0.030151434,0.11612148,-0.030126885,0.013364003,0.05171303,-0.054431435,0.113691,-0.026726343,-0.09980756,0.014288177,-0.0018216055,-0.0048671574,0.073877476,0.028800393
P12425,-0.030772235,0.09914187,-0.008607351,0.008152317,-0.013744129,-0.016306737,-0.020258183,0.035675123,-0.024663057,0.010213893,0.064105555,0.01517728,0.09839755,0.020933585,-0.019414485,-0.022843702,-0.005370081,-0.05969149,-0.030078968,0.1098235,-0.02630447,-0.0007443082,0.047334384,-0.049360935,0.11296744,-0.029933725,-0.10277155,0.0036524732,-0.0026906198,-0.01132246,0.0735274,0.038271178
O76095,-0.014108751,0.09966504,-0.019224212,-0.009688735,-0.02030978,-0.013360481,-0.014069364,0.034375712,-0.02942397,0.014300931,0.065793104,0.021003691,0.10097183,0.02576467,-0.013904549,-0.030615453,-0.0016676756,-0.06410169,-0.01938044,0.12500386,-0.027783018,0.007397361,0.050351467,-0.053653017,0.10916321,-0.024541097,-0.09766019,0.014093434,-0.016394183,-0.015594027,0.06870513,0.036196563
P63159,-0.030396445,0.1006473,-0.005585306,-0.004521735,-0.009468949,-0.011605458,-0.020755777,0.033438347,-0.025322428,0.005121977,0.06727885,0.019413989,0.09537191,0.010386595,-0.011701006,-0.031528424,-0.0014469364,-0.06112779,-0.04232216,0.113781996,-0.02874304,0.008864272,0.042358086,-0.04717793,0.118749216,-0.027693264,-0.09982738,0.010032946,0.002325381,-0.012091241,0.06863498,0.027484698
P46527,-0.026056519,0.10262492,-0.008005766,-9.039407e-05,-0.017183714,-0.011489301,-0.012784839,0.028733581,-0.035353385,0.010306391,0.06815736,0.017045956,0.10343512,0.014443766,-0.01651861,-0.026690533,-0.004645513,-0.056562494,-0.034569353,0.112253204,-0.025026137,0.011012852,0.04329291,-0.053524483,0.11105041,-0.031002097,-0.097816624,0.009259688,-0.00813442,-0.01757916,0.06425827,0.030211333
Q8IZH2,-0.020665519,0.10197127,-0.011330612,-0.0048638755,-0.013986159,-0.021287581,-0.010065872,0.035118278,-0.023756819,0.0073404065,0.06463658,0.036370277,0.09941795,0.019802636,-0.0087290965,-0.031837597,-0.0131795155,-0.059663355,-0.036183108,0.1232077,-0.030839466,0.012790671,0.046284232,-0.047666166,0.12116861,-0.032856066,-0.096365266,0.0075805793,0.0014408587,-0.012014944,0.05595213,0.028635293
P54279,-0.03226004,0.09230592,-0.01082335,7.4100164e-05,-0.012119635,-0.000758691,-0.005539872,0.027850794,-0.03409253,0.019891316,0.06804291,-0.0002819813,0.10835162,0.008215655,-0.017834023,-0.027555922,0.00092552975,-0.06105782,-0.030346874,0.11652764,-0.036427017,0.0015446001,0.021178842,-0.03608988,0.11746713,-0.024554266,-0.09196513,0.020265833,-0.017189099,-0.018024512,0.06287539,0.045260303
P07288,-0.018148798,0.11893605,-0.010061093,-0.0036308973,-0.015933104,-0.0038593162,-0.0088125225,0.044488817,-0.01720394,-0.0012287595,0.06972109,0.032008335,0.09756674,0.025088124,0.0067476453,-0.021157244,-0.007183186,-0.048162,-0.029704727,0.106700495,-0.02044186,0.008650706,0.060198918,-0.064796805,0.10924035,-0.03003188,-0.09845137,0.01481837,-0.015769454,-0.014711226,0.0649738,0.027346155
