UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
P11827,0.07655732,0.12988257,-0.07026906,-0.089823715,-0.009091906,-0.16724026,0.06851361,0.3268992,-0.1485393,0.25151882,-0.0822884,-0.20614584,0.20193757,-0.17462972,0.058234766,0.02200827,-0.087242305,-0.40856874,0.041089654,0.04751247,-0.15809682,0.021490276,-0.16713414,-0.4365492,-0.02055119,0.068932295,0.06420664,-0.15063661,0.024324685,0.022167187,0.067587875,0.078384295,-0.20974495,0.07052276,0.09390737,-0.09395303,0.056864098,-0.05846603,0.218923,-0.14155297,0.10698767,0.16173178,-0.13654982,-0.24075007,0.038497433,-0.09304339,0.13460445,0.11426501,0.15818739,-0.010404428,-0.017674938,-0.04989655,-0.0072377846,0.028636709,0.09609081,0.11270808,0.12476124,-0.29906866,-0.066451296,0.17925258,-0.11240679,-0.053344302,-0.022880252,0.22793788
O75347,0.026470786,-0.12494017,-0.040883824,0.03176231,0.004760567,-0.12001508,0.025517825,-0.088692635,-0.25737762,-0.11210778,0.07072489,-0.048926257,-0.1437098,-0.16051893,0.05000332,-0.34800726,0.06283772,-0.17333104,0.084116235,0.02559144,0.2333825,0.025612742,-0.12201968,-0.16029385,-0.14233373,-0.25180605,-0.03205431,0.034466114,0.0046843644,0.016389718,-0.18670557,-0.0049345344,-0.12837948,-0.08918175,-0.002762463,-0.042421937,-0.0642802,0.05876434,-0.09828347,0.095553145,0.0058625797,-0.078791946,0.018926512,0.028083935,-0.059525356,-0.06607722,0.07145087,0.100138925,-0.02125083,-0.0042161555,-0.005600661,-0.076889426,0.026785925,-0.062529415,-0.012906548,0.0262403,-0.055872075,-0.63222265,0.050770354,0.032545455,-0.04049352,-0.03421747,0.08525773,0.016845066
P11655,-0.00824329,-0.020744175,-0.20764023,-0.09911326,0.015978104,-0.030506045,0.04963949,0.17414127,-0.13192473,0.21525365,0.027890876,-0.068656616,0.2038514,-0.22294722,0.005549142,0.02745817,0.08345588,-0.13906784,0.1776223,-0.06582445,-0.124396585,-0.12257874,-0.17777765,-0.39453578,0.050338496,0.077323966,0.076716796,-0.07671336,0.031105308,0.024834983,0.1149858,-0.010675664,-0.1645068,0.012011875,-0.0041563413,-0.008007008,0.113603376,0.008774807,0.19754462,-0.05909549,0.0056666485,-0.021438649,-0.10220728,-0.14115128,-0.06538533,-0.14484288,0.05952567,0.0747264,-0.030860415,-0.0076679625,0.0051941923,-0.18626456,0.049229357,0.019715965,-0.009517382,0.04375,0.032727312,-0.5626714,-0.014322837,0.006095966,-0.03729944,-0.119065724,-0.027828477,0.112901025
O95149,-0.14614126,0.10742829,-0.0030434702,0.031386368,0.018906176,-0.0795938,-0.033201672,0.11822067,-0.037550423,-0.03504015,0.057672117,-0.03732753,0.051599,-0.09811236,0.11190795,-0.20779586,0.11031335,-0.08064139,0.060540836,0.058808763,0.15311041,-0.0656678,-0.058903754,-0.10989455,-0.07780136,-0.024010208,0.017462704,0.00079448306,0.11127623,0.020273173,-0.05982819,-0.01776556,0.040652685,-0.025428358,0.02884589,-0.021349821,0.042541146,0.02361757,0.11525407,-0.05358843,0.05332235,-0.034996487,-0.0055113807,-0.033039305,-0.022007663,-0.052324053,0.11101367,-0.04500153,0.024800692,-0.003454944,-0.08641731,-0.02481836,-0.0059302407,0.01279514,0.0065779984,0.07552791,0.026434073,-0.6309241,0.029415442,-0.018577248,-0.06671799,0.0056112492,-0.006434562,0.24184415
P06132,-0.11441523,-0.062278986,0.22644496,0.035052594,0.08308939,-0.13642603,0.010783427,0.13256933,0.093606204,-0.021362334,0.011304046,-0.052765727,-0.025584647,-0.1647339,0.049976405,0.057325196,0.1078304,0.13371359,0.09440664,0.078923725,-0.008043647,-0.0055698827,-0.004887849,-0.26442376,-0.016774615,-0.17505904,0.22779064,0.025506377,0.05639546,0.020663576,0.019572608,-0.089861095,0.06323325,-0.109695114,-0.06006099,0.01781086,0.114308126,0.050279837,0.34201655,0.057904553,0.124257386,0.022672564,-0.07144711,-0.10507679,0.05611357,-0.021757348,-0.06568544,0.0058091134,0.07673624,0.0029570733,-0.15287073,0.058216717,-0.004071967,0.0208128,0.0055520087,0.0413259,0.013383548,-0.62885565,0.023164392,0.14848329,-0.17011774,-0.011742819,-0.05937338,0.004888723
B4XT64,-0.04780361,-0.1293818,-0.009812228,-0.0061160177,0.06598468,-0.05328703,0.021693781,0.09041093,-0.19325629,-0.20284441,0.025055751,-0.023366705,-0.22500417,-0.16540922,0.04808528,-0.34828782,0.07105838,0.0029008985,0.1361981,-0.11107817,0.062132433,0.008574896,-0.1545611,-0.20927233,-0.02941233,-0.2652254,0.11218383,0.1635505,0.06021082,0.01795196,-0.108787194,-0.06443069,0.107956074,-0.07509661,0.037256457,-0.008239783,0.025080845,-0.011580758,0.17677735,0.090646684,0.08626692,-0.12397524,-0.007732056,0.004838243,-0.09591754,-0.1003135,0.012787953,0.008502565,0.048038065,-0.0031809974,-0.124031216,0.062085453,0.076886535,0.019885056,0.052007876,0.022178777,-0.04118759,-0.6768371,0.03396898,0.09870103,-0.07923129,-0.036269236,0.020705037,0.09410338
O75604,-0.08930046,-0.10069915,-0.08417863,0.015472554,-0.044192594,-0.056951754,0.058941506,-0.058798563,0.055528592,0.06465049,0.0057571395,-0.013396953,-0.0035585605,0.06438633,0.048991986,0.07240393,0.108891964,0.08392201,0.01998985,0.037107993,-0.032988004,-0.00091240706,-0.040457033,-0.06826137,0.10988488,-0.12046263,-0.030587122,0.01186235,0.03900547,0.027309489,0.093290195,0.012088612,-0.048203155,0.00073097646,0.016923489,-0.013833183,0.040795837,0.05497262,0.2260261,-0.04169357,-0.015724784,-0.057091642,-0.042364396,-0.061184753,-0.062487938,-0.07991071,0.10134932,0.0006863892,0.02342239,0.0032942812,-0.096345805,0.08532288,0.046555914,0.013440423,-0.010550946,0.052945863,0.0540547,-0.81672066,-0.02183154,0.05398804,-0.09529086,0.052153714,0.11308299,-0.005998713
P26639,-0.036273718,-0.0750997,-0.101381496,0.06653069,-0.024659792,-0.0699045,0.006970212,0.06762471,0.02006354,0.024444066,0.17294425,-0.023908705,0.07280227,-0.06814498,0.09524626,-0.07570906,0.065479815,-0.0974532,0.08421419,0.065855004,-0.061256863,-0.055745743,0.009493614,-0.064860985,-0.026996668,0.008114505,-0.060550332,0.024684925,0.019878356,0.021805692,0.08365087,0.13518603,0.06602351,0.1773326,-0.08309112,-0.08445304,-0.06691823,-0.021259362,0.2576934,-0.0751258,0.048784714,-0.009072225,-0.09089643,0.042019654,0.032697238,-0.011118901,0.06855011,0.040220402,-0.067310095,0.002225864,-0.14223501,-0.11333002,0.006226954,0.049417462,0.037681796,0.08110751,0.013039233,-0.69066274,0.16751958,0.10785047,-0.04125523,-0.050367992,0.018089475,-0.07777313
P12425,0.11203505,-0.052952964,0.033132434,0.048804633,0.04185804,-0.044762798,-0.10846654,0.055362612,0.042683765,0.20219494,-0.08856828,-0.09234145,-0.053461697,-0.07720958,-0.08711219,0.13051932,-0.05975989,-0.14240946,0.05469954,0.04163786,0.08755645,0.0035843952,0.24826932,-0.12573113,-0.061875153,-0.025150694,-0.060342748,-0.057702452,-0.0026025008,0.01944751,0.002175454,-0.039239343,-0.00045703724,-0.042914666,-0.0826865,-0.021490332,0.0027894843,0.040517602,0.034490395,-0.033225283,-0.037009247,0.05856016,0.009774948,-0.03756235,0.10586655,0.100277096,-0.07181044,-0.14985228,0.10949387,-0.0060765846,0.0035362244,0.019884095,0.0002818508,-0.0054820254,-0.17797376,0.030612558,0.0010252204,-0.43720654,-0.0927774,0.06459135,0.013274869,0.032035712,-0.06293385,0.09574586
O76095,-0.06285075,0.011646247,-0.11679655,0.04529938,0.0048007714,0.028940514,-0.1203414,0.15979376,-0.1664081,-0.09341005,0.018890653,-0.1771979,-0.19354387,-0.07580195,0.10756376,-0.09139167,-0.03193532,-0.19953883,0.022717118,0.0017500371,0.21346311,-0.0012473852,-0.103829384,-0.15052405,-0.08434372,0.0038993016,0.07816016,0.07487643,0.09562231,0.018594641,-0.07463577,-0.028245475,-0.09990675,0.009277868,-0.0031579703,0.025136644,0.06279433,0.08028046,0.02252071,-0.09930352,-0.0463842,-0.0554877,-0.021763694,-0.058477063,-0.02609474,0.014132619,0.10007169,-0.051053166,0.04354139,-0.0051748785,-0.06274526,-0.06206032,-0.06668909,0.14739141,0.06316712,0.008543944,-0.009960974,-0.46640745,0.053539515,0.006787902,-0.03686165,0.08377053,0.032292493,-0.08100544
