accession_code,ESM_32_dim_0,ESM_32_dim_1,ESM_32_dim_2,ESM_32_dim_3,ESM_32_dim_4,ESM_32_dim_5,ESM_32_dim_6,ESM_32_dim_7,ESM_32_dim_8,ESM_32_dim_9,ESM_32_dim_10,ESM_32_dim_11,ESM_32_dim_12,ESM_32_dim_13,ESM_32_dim_14,ESM_32_dim_15,ESM_32_dim_16,ESM_32_dim_17,ESM_32_dim_18,ESM_32_dim_19,ESM_32_dim_20,ESM_32_dim_21,ESM_32_dim_22,ESM_32_dim_23,ESM_32_dim_24,ESM_32_dim_25,ESM_32_dim_26,ESM_32_dim_27,ESM_32_dim_28,ESM_32_dim_29,ESM_32_dim_30,ESM_32_dim_31
P11827,0.2102093,-0.23969464,0.09241113,-0.11879531,-0.08349122,-0.21919098,-0.11915408,0.00733817,-0.08682391,0.13466525,0.07716168,-0.14039129,0.28909194,0.6232876,-0.39039838,0.5942446,0.01936182,-0.09011978,-0.15757751,-0.08249799,0.04179983,0.06033969,0.19982386,-0.07708312,-0.000746578,0.21332234,0.3723464,0.38457733,-0.07076305,-0.23237394,-0.07297078,-0.09599283
O75347,0.22576879,0.55806047,0.10240419,-0.05683265,0.0022124946,-0.40844497,-0.18174109,-0.15945716,-0.2218821,0.34031716,-0.16800395,-0.09103617,0.033938482,-0.28922218,-0.41234764,0.07891105,0.083850846,-0.040695515,0.16191345,-0.0014941618,-0.07762888,0.08331001,-0.10469361,0.34703225,-0.29824656,0.11067581,-0.19818923,0.24559283,-0.0076048225,0.15324505,-0.17109585,-0.3490823
P11655,0.35953486,-0.48717916,0.05163451,-0.3057658,-0.063114256,0.18121308,-0.019936949,0.37669381,-0.007241681,0.10508397,0.15527189,0.2211394,0.31548923,0.027488507,-0.26660162,0.14804122,0.11780438,-0.017424371,0.30679414,-0.03368003,0.10776597,-0.110312015,-0.4117881,-0.33376038,-0.07013491,-0.17557502,0.25135368,-0.021801047,0.043577075,-0.2977605,0.242988,0.16535161
O95149,0.38713282,0.38542622,-0.048246026,0.32599142,0.02829472,-0.050158992,-0.030129679,0.05866116,-0.2266603,0.21160313,-0.034768246,-0.15954423,-0.099842384,0.20751712,-0.23708478,0.01235871,-0.3186974,-0.04651774,-0.43479827,-0.093604155,0.00318826,-0.020771623,-0.15501952,0.18506692,-0.102245346,0.23713934,0.28914052,0.14978245,-0.22614805,0.05839108,-0.0565041,0.32744306
P06132,0.30969292,-0.0130306035,-0.27761468,0.054556772,-0.15077642,-0.16586047,-0.08879514,0.0028921403,0.12098302,-0.21121684,-0.08626307,-0.22116244,-0.28250766,-0.041948974,0.43623117,-0.14758627,-0.2892015,-0.12045327,-0.4548091,0.21803388,0.0157765,0.0922105,-0.1281515,0.28973013,0.044716522,0.4013897,-0.08778771,0.2964165,0.13194455,0.23341067,-0.20783538,0.16736846
Q59RR7,0.23716716,0.00074087083,-0.05390015,0.05153738,-0.17330809,-0.15152045,-0.022172734,0.22346695,0.03213401,0.030532733,0.06023901,-0.11990091,-0.007997386,-0.121427044,0.07762112,0.012231141,-0.045523714,-0.10629952,0.09697107,0.33056188,-0.04708757,0.015035525,-0.6062401,-0.011797057,0.0022552013,0.042336736,0.3317181,-0.034843594,0.051321566,0.07538293,-0.016632527,0.09669566
B4XT64,0.8143942,-0.13372992,-0.35340592,0.15541191,-0.14218464,0.15812443,0.02452232,0.124152854,0.13873278,-0.08533844,-0.022288121,-0.003516823,-0.13329288,0.3655101,0.20631483,0.23494603,-0.10442801,0.067363225,-0.26510543,0.047034077,0.2311403,-0.13107604,-0.4612071,0.09840456,0.006881751,-0.06805928,0.058491483,0.22868592,0.012262598,0.21519135,-0.14764377,0.4316885
O75604,0.77116066,0.018518671,-0.023606438,0.08343037,-0.018576771,-0.21414861,0.07217887,-0.016915105,0.21674962,-0.13247612,0.36398694,-0.07122654,-0.09314403,0.49957272,0.12626603,0.20641376,0.08824065,-0.052478608,-0.16239284,-0.15188989,-0.11734314,-0.3395027,-0.1604973,-0.04194895,-0.11599173,-0.14084017,0.29124397,0.2750012,0.24415685,-0.016336158,0.10331622,0.048094645
P26639,0.7426487,0.11781189,0.07557498,0.02783672,0.045572527,0.0049753264,-0.015220128,-0.058473807,-0.15122922,0.040393278,-0.058570422,-0.008358404,-0.07759856,0.3343836,-0.2506251,0.48785466,-0.112773806,0.11673123,-0.40230095,0.15255865,0.052623287,0.010645166,-0.3023919,0.07400024,-0.12692508,0.17972454,0.111270666,0.16569757,-0.05880399,0.41361564,0.023841202,0.24954303
P12425,0.56028837,0.044890627,0.030060973,-0.004523786,-0.04753336,-0.10077083,-0.0216332,0.056899983,-0.014937684,-0.0403091,-0.16217127,0.036585778,-0.009000383,0.076953225,-0.19277903,0.3369224,-0.12280689,0.1664122,-0.11236524,0.3729593,-0.014028743,0.026055902,-0.3887688,0.010545572,-0.14039788,0.15994997,0.16203082,0.42116016,-0.18024854,0.3819604,-0.06989734,0.011074036
