accession_code,ESM_128_dim_0,ESM_128_dim_1,ESM_128_dim_2,ESM_128_dim_3,ESM_128_dim_4,ESM_128_dim_5,ESM_128_dim_6,ESM_128_dim_7,ESM_128_dim_8,ESM_128_dim_9,ESM_128_dim_10,ESM_128_dim_11,ESM_128_dim_12,ESM_128_dim_13,ESM_128_dim_14,ESM_128_dim_15,ESM_128_dim_16,ESM_128_dim_17,ESM_128_dim_18,ESM_128_dim_19,ESM_128_dim_20,ESM_128_dim_21,ESM_128_dim_22,ESM_128_dim_23,ESM_128_dim_24,ESM_128_dim_25,ESM_128_dim_26,ESM_128_dim_27,ESM_128_dim_28,ESM_128_dim_29,ESM_128_dim_30,ESM_128_dim_31,ESM_128_dim_32,ESM_128_dim_33,ESM_128_dim_34,ESM_128_dim_35,ESM_128_dim_36,ESM_128_dim_37,ESM_128_dim_38,ESM_128_dim_39,ESM_128_dim_40,ESM_128_dim_41,ESM_128_dim_42,ESM_128_dim_43,ESM_128_dim_44,ESM_128_dim_45,ESM_128_dim_46,ESM_128_dim_47,ESM_128_dim_48,ESM_128_dim_49,ESM_128_dim_50,ESM_128_dim_51,ESM_128_dim_52,ESM_128_dim_53,ESM_128_dim_54,ESM_128_dim_55,ESM_128_dim_56,ESM_128_dim_57,ESM_128_dim_58,ESM_128_dim_59,ESM_128_dim_60,ESM_128_dim_61,ESM_128_dim_62,ESM_128_dim_63,ESM_128_dim_64,ESM_128_dim_65,ESM_128_dim_66,ESM_128_dim_67,ESM_128_dim_68,ESM_128_dim_69,ESM_128_dim_70,ESM_128_dim_71,ESM_128_dim_72,ESM_128_dim_73,ESM_128_dim_74,ESM_128_dim_75,ESM_128_dim_76,ESM_128_dim_77,ESM_128_dim_78,ESM_128_dim_79,ESM_128_dim_80,ESM_128_dim_81,ESM_128_dim_82,ESM_128_dim_83,ESM_128_dim_84,ESM_128_dim_85,ESM_128_dim_86,ESM_128_dim_87,ESM_128_dim_88,ESM_128_dim_89,ESM_128_dim_90,ESM_128_dim_91,ESM_128_dim_92,ESM_128_dim_93,ESM_128_dim_94,ESM_128_dim_95,ESM_128_dim_96,ESM_128_dim_97,ESM_128_dim_98,ESM_128_dim_99,ESM_128_dim_100,ESM_128_dim_101,ESM_128_dim_102,ESM_128_dim_103,ESM_128_dim_104,ESM_128_dim_105,ESM_128_dim_106,ESM_128_dim_107,ESM_128_dim_108,ESM_128_dim_109,ESM_128_dim_110,ESM_128_dim_111,ESM_128_dim_112,ESM_128_dim_113,ESM_128_dim_114,ESM_128_dim_115,ESM_128_dim_116,ESM_128_dim_117,ESM_128_dim_118,ESM_128_dim_119,ESM_128_dim_120,ESM_128_dim_121,ESM_128_dim_122,ESM_128_dim_123,ESM_128_dim_124,ESM_128_dim_125,ESM_128_dim_126,ESM_128_dim_127
P11827,-0.114455685,0.1755132,-0.15717645,-0.15278888,-0.1360947,0.07859713,0.12715295,-0.067501634,0.033937283,-0.047405258,-0.06462407,0.11085974,0.12482302,0.2003895,0.05145707,-0.019000188,-0.05343969,-0.1012107,0.16209075,0.006303318,-0.040460408,-0.120491,-0.059674166,0.13045552,-0.0946389,0.09908769,0.07469246,0.25214735,-0.2201921,-0.15460593,-0.17201625,0.056662247,0.1280479,-0.07518402,0.0931742,0.076790646,-0.14324135,-0.36556655,-0.015361682,0.13242069,-0.17359716,0.25844222,0.3518417,0.06567828,-0.08031836,0.24648444,0.073305406,-0.43674374,-0.121917866,-0.3308446,0.0712989,-0.045567296,-0.42551818,0.036146913,-0.080756515,-0.28436297,-0.18692192,-0.23905785,0.059214223,-0.009210866,0.30301508,0.0059047714,-0.28155407,0.11347905,-0.13000837,-0.22427127,-0.070363745,-0.055482164,-0.060286313,0.033889543,0.24067986,-0.027757317,-0.25662187,-0.014796464,-0.2688184,-0.19434136,-0.20235339,-0.23187393,-0.098946854,0.07045632,-0.04631933,0.15225771,-0.100242995,0.11032006,0.011390213,0.057739593,0.0028108563,0.46673125,-0.08367696,-0.12130365,0.12844594,0.2448402,0.088672854,-0.0860869,0.29946882,-0.00039302558,0.3592241,-0.0070787445,0.12193769,0.26256466,-0.046455264,0.1433475,0.039171096,-0.23286071,-0.06803501,0.11482959,0.1255755,-0.054525316,0.083629295,-0.038857825,-0.16333525,-0.41938204,-0.2242806,-0.12919882,0.12985644,-0.12686855,-0.109898135,0.042154472,-0.23891608,0.028943803,0.17727542,-0.11659834,-0.06768614,0.1766647,0.07992046,0.29260015,0.016916413,0.12124197
O75347,0.08174978,-0.04280756,0.10281181,-0.020892855,0.05535206,-0.10397326,0.035249293,0.16700578,0.092127346,-0.11336565,-0.019544512,-0.21604906,0.13250789,0.13175958,-0.08272722,-0.18601885,-0.33622706,0.21393856,-0.0012740865,0.20480584,-0.22955641,0.28697747,0.25030705,0.027400695,0.018872187,0.007333137,0.03917965,0.33715358,0.086191066,-0.11928758,-0.1770783,-0.16998419,-0.1894721,0.100063995,0.17062584,-0.12323758,-0.043584675,-0.047873415,-0.04673416,0.14623556,-0.31496638,-0.06564435,-0.029189644,0.3529453,-0.16892517,-0.29594773,-0.012920745,0.1615696,0.15178773,0.026061887,0.70331115,-0.28230858,-0.14824823,0.06910941,-0.01447572,-0.24451752,0.09033416,-0.20412578,-0.25040925,-0.122377604,0.087656744,-0.11905366,0.32886505,0.04731598,0.10377259,-0.1944247,0.06030064,-0.38290703,-0.07042684,-0.18698397,-0.08545295,0.06537026,-0.19691785,0.20255445,0.16994527,-0.2144067,-0.1199314,0.019320708,-0.16025642,0.05785536,-0.11214127,-0.06653099,0.11919384,-0.1255024,0.10388658,-0.14952996,0.0006442154,-0.3888033,0.009815957,-0.009035401,0.08126221,0.25081244,-0.18454918,0.16483814,0.26431674,0.036023058,-0.29662436,0.033246327,-0.07319094,0.34446493,0.03932345,0.019576287,0.4635496,-0.34608144,0.0731886,0.22320318,0.30949634,-0.003184596,-0.08069198,0.10717803,0.15969567,-0.33055946,-0.22301939,-0.08695316,0.15601048,0.051685363,-0.0097068325,-0.03478543,0.10236214,-0.10665667,0.260242,-0.03977711,0.17645913,-0.014021743,-0.1171055,-0.15639035,0.1239523,-0.022561029
P11655,-0.0859427,0.24594358,-0.27256715,0.19802564,0.02134632,0.2633936,0.029071748,-0.10194354,0.12453201,-0.009843029,0.022171758,0.19268748,0.25804073,0.12649341,-0.15549019,-0.28372765,-0.17888111,-0.3377762,-0.013255671,0.06838481,-0.047033347,-0.1383545,-0.05668619,-0.048559666,-0.14357859,0.08841866,0.018153176,-0.15970403,0.19807625,-0.23048957,0.05772169,0.016588617,-0.110109635,0.006873522,0.13849401,0.16003434,0.07247546,-0.049871765,-0.118287615,0.31301245,-0.003005907,-0.0036536679,-0.15112095,-0.09282997,0.032598086,0.159586,0.18011378,-0.2395632,0.08328865,0.07405429,-0.057137884,0.020321673,-0.16636008,-0.19742793,-0.024405438,-0.36184177,0.05771683,0.28352168,-0.05834585,-0.1276019,0.22820407,0.16049694,-0.26519772,0.11197673,-0.21765733,-0.28572598,0.47442493,-0.062227346,0.031128652,0.11251396,0.28572825,-0.029664693,0.08253612,-0.12786137,0.08311522,0.0716905,-0.0907653,-0.041763198,-0.16660981,0.20919093,-0.18467997,0.14564565,0.07705916,0.041180924,0.22247538,-0.15142658,-0.05851262,0.29832175,-0.17790218,-0.30719936,0.14072967,0.06364369,0.091693565,-0.14429256,0.24691238,0.2433121,-0.027175393,0.09635943,-0.06567028,-0.13241759,-0.05530303,0.29084396,-0.2056444,-0.26134536,0.19011125,0.15846786,-0.053828515,-0.18092373,-0.044850007,0.07441677,-0.10926503,-0.21264261,-0.1963309,0.02274976,0.039178018,-0.15491372,0.24734458,0.00262419,0.15265149,-0.050534848,-0.23955512,-0.028715905,0.0033491477,-0.22867033,-0.2662793,0.15077433,0.007061256,-0.010862976
O95149,-0.12211431,-0.07738881,-0.12546633,0.0394986,-0.102020726,0.02574027,0.11856215,0.024616823,0.09197546,-0.13455719,0.001390703,-0.27935,0.056400437,-0.1337562,-0.15752533,0.016131759,-0.04035282,0.038390364,-0.07439488,0.2567699,-0.17193347,0.079099014,-0.04427158,0.013596222,-0.044000484,-0.01754038,0.09173739,0.25824344,0.11168696,-0.06989968,-0.13828155,-0.024671342,0.076845795,-0.08631705,0.07803689,-0.04977248,-0.1398677,0.031051261,0.03633023,0.25536564,-0.20790786,-0.123842165,0.06636296,0.13521785,-0.07995902,-0.025583275,0.08635062,-0.011700789,-0.0072034243,0.014315759,0.38276538,0.06663769,-0.1930426,-0.081423655,-0.11736519,-0.43070304,0.020031601,0.063472606,-0.15177113,-0.06656718,0.06195434,0.084405944,-0.41995198,0.05771825,-0.12702179,-0.11198431,0.0049739666,-0.026369004,0.013649531,-0.01992951,-0.027958848,0.124255,-0.14907204,0.11190651,0.031263787,-0.32137713,-0.025232624,-0.10996962,-0.27784014,0.007981904,0.06543034,0.01136373,0.07675903,0.011428599,0.014698908,-0.2259562,-0.12372787,0.02361082,-0.0033181086,0.104580365,0.010073045,0.15383977,-0.11243168,0.07329896,0.07984099,0.10391687,0.10748186,0.03703371,0.032923628,0.00893721,0.15227945,-0.09087967,-0.029731702,-0.3829819,0.09887579,0.19586945,0.21498334,0.01012474,0.018930815,-0.0022119163,0.22042513,-0.35414556,-0.14410901,-0.29249635,0.18334067,0.053218514,0.012790892,0.12358917,-0.02723198,0.06250343,-0.1843105,-0.07634958,0.045245245,0.05318076,-0.12957387,-0.025783973,-0.018776424,0.07363451
P06132,-0.15608011,-0.050617527,-0.11489251,0.075109564,0.020476375,-0.032375015,0.06668684,-0.17338008,-0.06065756,-0.31936482,0.01585666,-0.25166202,0.16320172,-0.12278247,-0.0005238429,-0.014002573,0.05506715,0.1868204,0.11275923,-0.09311266,-0.24269597,0.12186147,-0.094211906,-0.22529113,0.04936383,0.0053966697,0.0020296127,0.061954744,-0.025038064,-0.09092021,-0.013913289,0.007865918,0.10673694,-0.027380267,-0.016789474,-0.10398105,-0.26767555,0.17949742,0.06322238,0.124250166,-0.42049345,-0.01907337,0.056852985,0.23382345,-0.0023992658,-0.20079932,0.27215755,8.170609e-05,0.076775126,0.17370385,0.16745958,0.11406002,-0.026836146,0.07069121,-0.07332847,-0.13683134,0.14209941,-0.016697349,-0.13113973,0.10502717,-0.03393381,-0.18353838,-0.14360517,-0.30661896,-0.119006045,-0.20324029,0.15279287,-0.12977293,-0.028817302,0.039440837,-0.0022284538,0.2512893,-0.06821936,-0.010462863,0.057267185,-0.24881032,-0.099841595,0.031509683,0.24335556,0.020251907,-0.13565609,-0.12368396,-0.25781184,-0.096087575,-0.10917962,-0.16172731,-0.084762886,0.09101367,-0.28745478,-0.08434349,-0.091467865,0.21728073,-0.037720613,0.10398132,-0.038479358,-0.051084027,-0.24204001,-0.12135123,0.12675188,-0.105153754,0.09059075,-0.22995152,0.11395409,-0.19978167,-0.051529318,0.090762615,0.006759798,-0.15095559,-0.039181355,0.051714007,0.22861566,-0.07772125,0.08429745,-0.11073272,0.11112274,-0.18120682,-0.1745045,0.17592342,-0.01680294,0.13565968,0.031045709,-0.16491354,0.30607942,-0.15226042,0.029103247,-0.087339014,0.12827827,0.060343966
Q59RR7,0.00818732,-0.117706165,-0.20480855,0.07367293,0.094507575,0.042117786,0.081519604,-0.10803743,0.037716165,-0.17499268,0.116904676,0.100993305,0.17864138,0.040088832,-0.09609213,-0.15471646,-0.15016375,0.055668578,-0.036681328,0.114936635,0.035345364,-0.029858809,-0.073061876,-0.12703721,-0.039987363,-0.00012715906,-0.1389707,0.0591616,0.05088805,-0.080824845,-0.090705186,0.020562563,-0.18892585,0.054487128,0.20535994,0.032273803,-0.054950133,0.14695999,0.031549178,0.04245705,-0.103910744,0.076455966,-0.19388801,0.043673452,0.21932727,0.0673472,0.28037232,0.115390226,-0.13737252,-0.048091214,0.12905778,0.04680764,-0.2603191,-0.12823898,-0.051001165,-0.18081875,-0.010610975,0.24016958,-0.018408833,-0.101524144,0.05688683,-0.10294937,-0.14702274,-0.12520468,-0.08791348,-0.23340681,0.041621268,-0.0784037,-0.20452805,0.12774813,0.0843841,0.114942625,0.017083278,0.01682939,0.09953867,0.15759042,-0.06387569,0.060640723,-0.16733979,0.11940066,-0.40927985,0.019608472,0.044234194,-0.03809777,0.07765493,-0.21236604,0.10119194,0.08077703,0.098617986,-0.20546177,-0.10348825,-0.065883055,0.05810137,-0.040498838,0.2820625,-0.12332988,-0.30369172,0.13257945,0.058875572,-0.11452253,0.1962471,-0.018623885,0.14504385,-0.32213643,-0.11453788,0.08026309,0.035097763,-0.07124564,-0.051127594,-0.028971374,0.029095512,-0.117976904,-0.44850954,0.13246587,0.030074034,-0.20247886,0.19061142,-0.06257207,0.29712656,-0.04746395,0.09804323,-0.0014537532,-0.053759202,-0.2149759,-0.034291252,-0.2942393,-0.16110653,0.09870529
B4XT64,0.051154993,0.015142571,-0.11666964,-0.14310752,0.06978412,0.06110895,0.04774502,-0.1333984,0.009244153,-0.37276715,0.0108869895,-0.062494323,0.2729628,-0.16189717,-0.097912155,-0.008601569,0.013301238,-0.100583315,-0.03469573,0.052344587,0.07564816,-0.18148318,-0.026655726,-0.13545597,-0.16543296,-0.18115893,-0.083102986,0.16334763,0.13877983,-0.3221377,-0.0065704808,0.11985943,-0.09324278,-0.018787082,0.024371263,0.07933465,-0.11799971,0.08834523,0.23709893,0.12838924,-0.5008901,-0.03810929,0.16146775,0.14520836,0.1935113,-0.12387274,0.1796978,-0.1445643,0.24381748,-0.17153367,-0.03036546,-0.12166835,-0.31170622,-0.101922125,0.015974257,-0.2153073,0.0032963231,0.17843716,-0.011065112,0.015730472,0.11847698,0.22049326,-0.5013081,0.010516141,-0.055436473,-0.23063394,-0.0054302663,0.042316608,-0.17670445,-0.0013209954,0.16182962,0.19863053,0.17448185,-0.012725217,0.076351196,0.21074298,-0.035308342,0.09483987,0.06900239,0.05786591,-0.050754555,0.0038711727,-0.082000256,0.044596985,0.05721204,-0.19242904,-0.019646235,0.24226658,-0.17980638,0.027758755,-0.097885944,0.14975907,0.088940814,-0.03056454,0.13101277,0.025089033,-0.002267845,0.01707502,0.005136449,0.22259834,-0.10554197,-0.08784706,-0.04425306,-0.483393,0.06959371,0.2262415,0.2863743,0.08372245,-0.0005458668,-0.11904891,-0.08272052,-0.15585624,-0.36149222,-0.031457458,0.1914658,-0.09160111,-0.09954871,0.011364268,0.061580412,0.15869854,-0.07034656,0.059686605,-0.014486909,-0.026092224,-0.06071741,0.08318475,-0.20255518,0.17693003
O75604,0.1236445,0.12083694,-0.06774938,0.34743387,-0.032172903,0.1358511,-0.011412233,-0.066589266,-0.16754463,-0.41013193,-0.11797699,-0.02042318,0.19820447,0.060837492,-0.17156148,-0.056197546,-0.014125615,-0.055934954,-0.11048788,0.24872419,0.08020881,-0.016840134,-0.009505393,0.2659471,-0.13284746,0.08274798,-0.24179755,0.42520767,0.11422171,-0.12931795,0.04394758,0.07567225,-0.27342448,0.0068814456,0.1410554,0.03358541,-0.14561793,-0.16706531,0.16007772,0.13009556,-0.5722593,0.037470046,-0.040803544,0.09089257,-0.04144767,0.030526783,0.055764068,-0.39441547,-0.03188575,0.012385356,0.27149534,0.15947403,-0.24789059,-0.03530425,-0.032888643,-0.16494197,-0.09229137,0.30547518,0.0071311696,-0.0407922,0.1716646,-0.041003045,-0.5389295,0.28749523,-0.15411475,-0.2838432,-0.10436108,-0.09388888,-0.0025399774,-0.13490671,0.10034836,-0.04971625,-0.020103682,0.009244679,-0.03563047,0.017225701,-0.05944607,-0.012901641,0.10678074,0.0866872,0.15231557,-0.033297464,0.020942569,0.25562453,-0.07492652,-0.23356369,-0.07115247,0.20713624,0.048612043,-0.053781524,-0.062132847,0.10042563,0.1455496,-0.07388364,0.12854114,-0.19755043,0.0894902,-0.029461544,-0.024751466,0.034931578,-0.00028208643,-0.013077002,0.025332576,-0.36746052,-0.10733789,0.25083882,-0.13888712,-0.1457862,-0.2704499,0.045866657,-0.2627044,-0.28871432,-0.193189,-0.027245775,-0.012206867,-0.18513224,-0.12872036,0.083787814,-0.03767476,0.055489518,-0.028339297,-0.07844933,0.12930548,0.058336683,-0.28645816,0.19992785,-0.16557345,-0.060136996
P26639,0.0048404746,-0.05394194,-0.048387222,-0.0030602673,-0.07218903,0.05629756,-0.016555846,-0.13682719,-0.13290831,-0.34790057,-0.09837848,-0.21479519,0.21263717,0.0042857956,-0.032382954,-0.10370286,-0.15696546,-0.053861145,0.009891078,0.2536952,-0.03180121,0.050222315,0.087217495,-0.03451336,-0.17647532,-0.17300884,-0.04283925,0.3210476,0.14324033,-0.19698957,-0.10305771,-0.082474425,-0.018908614,-0.04763622,0.062030874,-0.07606812,-0.24379452,-0.11775417,0.008672215,0.04711134,-0.34589556,-0.04459924,0.19988562,0.13540709,-0.0077991635,-0.048018686,0.101930514,-0.08183079,0.09701456,0.0047423393,0.37810722,-0.093662456,-0.35208544,0.039775338,-0.07509442,-0.14682189,-0.052377492,0.14838962,-0.09610728,-0.12849213,0.11513766,0.21453732,-0.3228253,0.18250789,-0.21722302,-0.25003722,-0.0016605966,-0.16189331,-0.116221234,-0.09220024,0.17795332,0.14733596,-0.044528686,0.26298273,-0.07355074,-0.158241,-0.05960733,-0.056368448,-0.036624238,0.09724494,0.06318033,-0.029490935,-0.18374899,-0.0029589664,0.09301734,-0.14645882,-0.06529103,0.1893493,-0.016798839,0.020754322,-0.04807937,0.26846698,0.06191682,-0.028105982,0.26165947,0.13988495,0.090142556,-0.022873836,0.10200879,0.24021095,0.03328719,-0.12452407,0.047913495,-0.4263338,-0.06489698,0.18667282,0.22704801,0.0017199833,0.027060993,0.03639308,-0.09233096,-0.29549542,-0.2505021,-0.17050156,0.19987017,-0.033970345,-0.034345213,0.0972821,0.008351382,0.10791454,-0.028974265,-0.05017251,0.15224773,0.08228547,-0.11578508,-0.11537953,-0.26768798,0.04791733
P12425,-0.090409294,-0.08473393,-0.013401438,-0.04337442,-0.07468279,-0.05255301,-0.047928825,-0.20860733,-0.110395215,-0.17078623,-0.10184093,-0.16674267,0.23018505,0.048133507,-0.0011287406,-0.15154776,-0.07740873,-0.12347028,0.097493336,0.1906749,-0.19378458,-0.027476989,0.15918052,-0.16299179,-0.04102582,-0.121064916,-0.065950334,0.22361559,0.2103337,-0.19009721,-0.048850387,-0.113198444,-0.1272846,-0.1032345,0.056303438,-0.02044193,-0.20208575,-0.12072173,0.050627984,0.1697728,-0.3446009,0.0031986088,0.23164666,0.21941002,-0.15103903,-0.0901049,0.21582204,-0.059510477,0.085630134,0.018527359,0.48096386,-0.11235626,-0.21419886,-0.004020054,-0.030234288,-0.100359075,0.14258347,0.1576391,-0.027012434,0.038593933,0.11483731,0.022391863,-0.21511179,-0.010563012,-0.14194867,-0.29223529,0.20873186,-0.18557525,-0.032435864,-0.04594051,0.2486988,0.23205681,-0.12347774,0.061506286,-0.06788993,-0.06603535,0.00070897397,0.14529392,-0.0011976436,0.037346885,-0.096368834,-0.037850752,-0.19715174,0.030934665,0.217058,-0.07415703,0.0024433034,0.04437308,0.0034518223,-0.12005222,0.019921064,0.2720363,0.0856224,0.016074225,0.15243742,0.17292641,-0.024680201,-0.004273854,0.11800182,0.044318676,-0.02565042,-0.103663355,-0.027135707,-0.4491965,0.012633208,0.14782634,0.14257331,0.05146359,-0.05325165,0.03553194,0.02433836,-0.24513477,-0.27341682,-0.015864886,0.24751045,0.018890955,-0.04470241,0.054814663,0.07399772,0.07706857,-0.010770865,-0.10912301,0.034795746,-0.16410889,-0.05349209,-0.07356569,-0.02636031,0.23803586
