accession_code,ProtT5_32_dim_0,ProtT5_32_dim_1,ProtT5_32_dim_2,ProtT5_32_dim_3,ProtT5_32_dim_4,ProtT5_32_dim_5,ProtT5_32_dim_6,ProtT5_32_dim_7,ProtT5_32_dim_8,ProtT5_32_dim_9,ProtT5_32_dim_10,ProtT5_32_dim_11,ProtT5_32_dim_12,ProtT5_32_dim_13,ProtT5_32_dim_14,ProtT5_32_dim_15,ProtT5_32_dim_16,ProtT5_32_dim_17,ProtT5_32_dim_18,ProtT5_32_dim_19,ProtT5_32_dim_20,ProtT5_32_dim_21,ProtT5_32_dim_22,ProtT5_32_dim_23,ProtT5_32_dim_24,ProtT5_32_dim_25,ProtT5_32_dim_26,ProtT5_32_dim_27,ProtT5_32_dim_28,ProtT5_32_dim_29,ProtT5_32_dim_30,ProtT5_32_dim_31
P11827,-0.21671164,-0.19793214,-0.6196441,0.28295776,0.51778287,0.430327,-0.30219227,-0.14226809,0.113070354,-0.20743518,0.13122419,0.07462599,-0.5715358,-0.32881996,0.6250437,0.34699938,0.5208983,0.093704015,0.14950821,-0.084055886,-0.02823767,-0.39841002,-0.28016636,0.06879699,0.117795445,-0.38236326,-0.27719426,-0.25710595,0.20706734,0.00074118376,-0.52499974,-0.02948992
O75347,0.46402314,0.08253795,0.60490996,-0.2413361,-0.53496253,-0.3030764,0.10100698,-0.015763097,0.031050522,0.40200353,-0.48220038,-0.16302046,0.3784761,-0.24953295,-0.7092929,-0.34201536,-0.36429945,0.23845465,-0.052124906,-0.08320851,-0.20676836,0.18179515,0.024529293,-0.0039336774,-0.372767,0.56404924,0.552112,0.5545903,-0.09655748,-0.17286661,0.19604635,-0.35481805
P11655,-0.25503477,-0.19460344,-0.66508377,0.30376998,0.5583116,0.44008997,-0.30881485,-0.12147104,0.09964503,-0.27899837,0.14801487,0.06745123,-0.6002322,-0.32805416,0.7011976,0.37542045,0.53641784,0.052791297,0.17289941,-0.1207645,-0.034740046,-0.39548606,-0.29542273,0.066329814,0.1338664,-0.43123227,-0.31493333,-0.33544835,0.18954247,0.02421458,-0.5538,-0.04528802
O95149,-0.18908972,-0.012926869,-0.262094,0.29314408,0.19853605,0.046318408,-0.10835722,0.05234822,0.24550678,-0.5885678,-0.23496081,0.099400334,-0.24604711,-0.27150303,0.3083347,0.11353584,0.23315316,0.025564991,0.11998825,-0.1737854,-0.28999063,-0.22609213,-0.22371674,-0.046757624,-0.1206767,-0.3104791,-0.05101143,-0.3723671,0.08350928,-0.052378356,-0.45845017,-0.4080618
P06132,0.56334573,0.19856103,0.9613026,-0.30683273,-0.9042526,-0.6528591,0.26497588,0.23977992,0.065946475,0.15911058,-0.7581812,-0.2937692,0.70492035,-0.12096902,-0.95779103,-0.5717282,-0.6673768,0.16111836,-0.0981379,-0.15079235,-0.4215205,0.35972354,0.06500617,-0.10595017,-0.5859583,0.72816885,0.7333168,0.5430039,-0.2014404,-0.14902219,0.297528,-0.59961003
Q59RR7,0.44527626,0.18267454,0.8299646,-0.22333181,-0.7723262,-0.57230246,0.22616804,0.22291028,0.0577727,0.047768243,-0.68897307,-0.23249915,0.5904754,-0.15806961,-0.7963207,-0.4970041,-0.5839536,0.11594233,-0.047472905,-0.18359843,-0.4066643,0.32023248,0.027099237,-0.08497078,-0.53143615,0.5995021,0.6343746,0.40098926,-0.1987792,-0.13370155,0.22337446,-0.6174933
B4XT64,0.16175957,0.08226256,0.35954386,0.0026569497,-0.34836286,-0.28827956,0.08579544,0.12508711,0.13983607,-0.19865052,-0.49418756,-0.06545366,0.21973385,-0.2202248,-0.3369305,-0.24249384,-0.21937849,0.08968204,0.017116416,-0.17126757,-0.3452718,0.06925744,-0.077506006,-0.056519143,-0.34337303,0.21387504,0.3459962,0.09402967,-0.06311914,-0.113293216,-0.07211408,-0.52703196
O75604,0.06839066,-0.07718931,-0.056401912,0.059694305,0.036942948,0.085987076,-0.09786805,-0.06996618,0.10148251,0.0064126626,-0.18185277,-0.021395788,-0.13379882,-0.2833334,0.017902553,0.027031716,0.12889414,0.15360336,0.0523572,-0.08730031,-0.13084954,-0.14901803,-0.15002955,0.024377929,-0.108740136,0.03268029,0.104018,0.08411825,0.08335124,-0.08320177,-0.2287615,-0.20808546
P26639,0.6589212,0.19188376,0.97778624,-0.3751617,-0.9291245,-0.6294496,0.2543947,0.21930835,0.040102053,0.30074853,-0.75107944,-0.38149673,0.7343,-0.09472835,-1.0011091,-0.56689906,-0.6643596,0.21967983,-0.14642005,-0.105381995,-0.37782195,0.35469753,0.08170095,-0.13155103,-0.5679695,0.8096545,0.74339175,0.6602812,-0.19390094,-0.13154706,0.3380116,-0.501523
P12425,0.67004114,0.19675978,1.0048091,-0.3826162,-0.96335477,-0.6523013,0.26101816,0.24877691,0.035333265,0.28336996,-0.7652285,-0.41175792,0.7629748,-0.07855834,-1.0128918,-0.57806444,-0.6885678,0.21456313,-0.14936379,-0.11047439,-0.38912976,0.37194687,0.07753058,-0.14330825,-0.5817488,0.82709503,0.7498027,0.6630188,-0.20198959,-0.12105302,0.34779802,-0.51117134
