UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
P11827,-0.13504586,-0.9936363,-0.04226768,0.15700944,-0.49769044,-0.1267142,-0.027554259,-0.0032376684,0.0019374369,0.3307513,-1.2549802,0.09041415,1.1463559,0.36721352,-1.6411207,0.013192475,-0.08536475,0.8154076,0.23493032,-0.4067009,-0.27530754,-0.037550762,3.128654,-0.06935188,0.07214501,-0.022329658,-0.011578259,-0.006067073,-0.37317863,0.061288193,-0.1383272,0.059635844
O75347,-0.049782515,0.10335538,-0.07024247,0.108951986,0.41059658,-0.08803487,-0.06321781,-0.00041805767,-0.05295858,-0.19765508,-1.6390396,0.40399176,0.48361063,-0.13104564,-0.3287242,1.1221237,-0.06479043,-0.68424726,-0.63908994,0.85618323,-0.5571625,-0.044842385,1.6755023,1.0362215,0.05520605,-0.027599782,0.0063100522,0.05237516,0.32333708,0.009417033,-0.002009444,0.44146672
P11655,-0.16586427,-0.8364003,-0.042069346,0.17850459,0.030824581,-0.23297332,-0.029565305,-0.014436421,0.0101782875,0.2829751,-1.5578437,0.1321628,1.4529991,0.45018807,-1.932325,0.14834155,-0.09369562,0.5787387,-0.07443696,0.988118,-0.5834941,-0.036450688,2.8041744,0.026524933,0.08003273,0.08652898,-0.003776339,-0.032740563,-0.88576907,0.0825964,-0.25548878,0.26677123
O95149,-0.12435306,0.1945888,-0.06579609,0.16477068,-0.06313309,0.14648013,-0.045545768,0.013635735,-0.026710207,0.40213218,-2.5272553,0.24815252,1.2860653,0.21461485,-2.2994373,0.033506416,-0.09209237,-0.15074812,0.20741473,0.8581057,0.08264168,0.017817527,2.774298,0.97976714,0.0738825,0.2888482,0.008820638,0.07215241,-0.6119009,0.037066188,-0.3130056,0.11344036
P06132,-0.1632502,-0.14827468,-0.045845777,0.16411959,0.09634175,0.097180665,0.01332495,0.028010547,0.0035487264,-0.10429478,-1.4252052,1.0886602,0.65858555,0.49959067,-1.693141,-0.19601639,-0.08701619,0.6223306,0.37330338,1.7522173,0.55661786,0.016654437,1.8697201,-0.8102098,0.1032495,-0.12942168,0.0045148307,0.032256763,-1.3966398,0.059683073,-0.26334468,0.3351287
B4XT64,-0.12379873,0.22768521,-0.07027472,0.12658724,-0.14428234,0.26580858,0.0193291,0.029394612,-0.03587646,0.004840493,-1.3338746,0.9531285,0.36998326,0.47190964,-1.655902,-0.26163155,-0.07540576,0.37000126,0.48107147,1.4291238,0.5999407,0.025449308,1.9858578,-0.01513505,0.10351638,-0.018047124,0.003584559,0.1185704,-1.1127231,0.027163912,-0.35282382,0.07667063
O75604,-0.07884604,1.0189823,-0.054829367,0.12450012,0.8626239,-0.070009485,-0.03680326,0.01636218,-0.028646022,-0.0053908587,-1.835277,0.9791722,0.4747812,0.24957891,-1.0331528,0.04598503,-0.06326246,-0.47606927,-0.25265288,2.002878,0.080134965,0.018323239,0.027516436,0.24899891,0.06820728,0.23704669,0.020739457,0.01262978,-0.42713398,0.022474375,-0.4657383,0.39121106
P26639,-0.07413121,-0.34869632,-0.06428476,0.14030775,0.85680044,-0.081067964,-0.07062398,0.017509364,-0.031949893,-0.61487114,-1.9264101,0.14096323,1.7197924,0.22829655,-0.7256982,-0.12592745,-0.0765498,-0.39684856,-0.33983713,0.04517269,-0.55604875,0.015046808,0.9813148,0.22008204,0.06430717,0.3325352,0.016189624,0.010903778,-0.35776415,0.0076722056,-0.24110296,0.16133726
P12425,-0.072792955,-0.1673719,-0.080168836,0.11194107,0.47849482,-0.18962297,-0.05676437,0.018621074,-0.05672684,-0.3805309,-1.6275297,0.5299518,1.0923492,0.2593166,0.457679,-0.5280805,-0.073549226,-1.2083123,-0.47059792,0.54763854,-0.20670417,-0.027239326,1.606334,0.88534564,0.08140407,-0.10615322,0.026007991,0.0754606,-0.89935005,-0.00029373472,0.041715577,0.13992357
O76095,-0.044620417,-0.24806216,-0.096032485,0.123673536,0.5841854,-0.022487495,-0.0695948,0.019308552,-0.07841679,-0.63999826,-2.2233684,0.078936055,1.0799502,0.16111131,-0.38837022,0.044230174,-0.07146007,-0.5696864,-0.06567875,-0.2538158,0.042410206,0.0037205622,1.2401202,1.4110023,0.0816261,0.05398556,-0.0030818074,0.09749943,-0.17432603,-0.017683676,-0.1773422,0.05549302
