accession_code,ESM_64_dim_0,ESM_64_dim_1,ESM_64_dim_2,ESM_64_dim_3,ESM_64_dim_4,ESM_64_dim_5,ESM_64_dim_6,ESM_64_dim_7,ESM_64_dim_8,ESM_64_dim_9,ESM_64_dim_10,ESM_64_dim_11,ESM_64_dim_12,ESM_64_dim_13,ESM_64_dim_14,ESM_64_dim_15,ESM_64_dim_16,ESM_64_dim_17,ESM_64_dim_18,ESM_64_dim_19,ESM_64_dim_20,ESM_64_dim_21,ESM_64_dim_22,ESM_64_dim_23,ESM_64_dim_24,ESM_64_dim_25,ESM_64_dim_26,ESM_64_dim_27,ESM_64_dim_28,ESM_64_dim_29,ESM_64_dim_30,ESM_64_dim_31,ESM_64_dim_32,ESM_64_dim_33,ESM_64_dim_34,ESM_64_dim_35,ESM_64_dim_36,ESM_64_dim_37,ESM_64_dim_38,ESM_64_dim_39,ESM_64_dim_40,ESM_64_dim_41,ESM_64_dim_42,ESM_64_dim_43,ESM_64_dim_44,ESM_64_dim_45,ESM_64_dim_46,ESM_64_dim_47,ESM_64_dim_48,ESM_64_dim_49,ESM_64_dim_50,ESM_64_dim_51,ESM_64_dim_52,ESM_64_dim_53,ESM_64_dim_54,ESM_64_dim_55,ESM_64_dim_56,ESM_64_dim_57,ESM_64_dim_58,ESM_64_dim_59,ESM_64_dim_60,ESM_64_dim_61,ESM_64_dim_62,ESM_64_dim_63
P11827,0.16551252,0.006531067,-0.12338051,-0.052830346,-0.04751834,0.02742235,0.35577458,0.2084704,-0.0031911358,-0.5549011,0.24811196,-0.065534845,-0.20547688,0.25316885,0.30840442,-0.04546292,0.30570954,0.072106525,-0.036293708,0.21342185,0.021924775,-0.15164256,-0.21489036,-0.0067225955,-0.0034252703,0.1785202,0.033889666,0.09639273,-0.12524731,-0.07550482,-0.1284692,0.23411438,-0.11040263,-0.09289014,0.10291837,0.014125042,0.14053121,0.15705384,0.29116476,0.17753308,0.04891424,-0.29902804,0.14342564,-0.18382148,-0.0801013,-0.036995962,0.101733334,-0.052354895,0.19899438,-0.14976332,-0.065467715,0.11808015,0.08487451,-0.018759012,-0.16702159,-0.29409063,0.06797309,-0.32388055,0.032346323,-0.12195699,-0.043925226,0.17936054,-0.106791675,-0.17097452
O75347,-0.008964375,0.010195408,-0.42317784,0.06156597,0.12085849,-0.14107476,0.35787764,0.13376164,-0.11879276,0.019835427,-0.0463359,0.060093682,0.3582997,-0.28089687,0.14369747,-0.06304449,0.21000476,0.20491906,-0.10682572,-0.111910276,0.04151084,-0.19412467,-0.037498288,-0.12649342,-0.0035785586,-0.12640065,0.09806502,-0.07518903,0.050321445,-0.031853534,-0.17519596,-0.118308574,0.055550445,0.07025863,0.06303543,0.21517238,-0.13027704,-0.0078598205,0.1307353,-0.21356328,-0.16220725,0.27818123,0.005546823,-0.13442037,-0.11745607,-0.15526526,-0.057517566,0.36983317,-0.4386925,0.033823382,-0.3600235,-0.0245062,-0.081955284,-0.5368047,0.012543041,-0.13199687,-0.005472984,0.07514891,-0.113037504,-0.2503186,0.07296726,-0.119383715,-0.39483622,0.12384044
P11655,0.030433333,0.0017963499,0.13339944,0.14009508,-0.20411517,-0.115296856,0.12432309,0.30485043,0.024962835,-0.34767076,-0.042980365,-0.03338765,-0.1677614,0.19373846,0.081218466,0.3812077,0.28511435,-0.27213907,-0.061375976,0.039472565,0.22095,-0.16579965,0.13314423,-0.140385,-0.21894065,-0.090814054,0.14762008,-0.0073264334,0.33696645,-0.05908957,0.10654925,0.053993113,-0.13169363,-0.0531286,-0.118199736,-0.20239499,0.0952962,-0.055297367,-0.3982044,0.07329987,0.22919683,-0.400657,0.12968668,0.1221436,-0.08449337,-0.033433553,0.08129757,-0.1890023,-0.07200499,-0.25674957,-0.2759285,0.22423613,0.04703849,0.019269623,-0.014813017,-0.25567916,0.21448216,0.09128089,-0.0042627063,0.057241976,-0.033032626,-0.018210787,-0.10096307,-0.14554404
O95149,0.10157083,0.15085748,0.10704022,0.21507362,0.18604814,-0.042820882,0.142883,-0.08801226,-0.115402035,-0.123137526,-0.04386121,0.081890985,0.059595454,0.040528182,0.15511301,0.046321344,-0.0155033395,0.25259155,-0.35489112,-0.053993665,0.08228977,0.047754847,-0.13788825,-0.0959552,0.016244046,0.08103669,0.2612738,-0.035052784,0.121755384,-0.21593857,-0.10264706,-0.013163641,-0.028855924,-0.030875273,0.10183087,0.0466199,-0.14484453,0.0008728299,0.023411296,-0.118791535,0.15315948,0.13673042,0.04707793,0.030244716,0.10999881,-0.053948577,-0.057866566,0.21056956,0.04982173,-0.14901431,-0.16254798,-0.1077767,0.012214817,-0.12677845,-0.06312248,-0.077631675,0.23805916,-0.13892782,-0.2421594,-0.28526497,0.039151922,-0.027571417,0.053118322,0.11230175
P06132,-0.013464205,0.15913236,-0.056086496,-0.08522395,0.14031383,0.07603639,-0.085497424,-0.09618485,-0.0021501034,-0.09275054,0.042892948,0.26605994,0.03331964,-0.020196747,-0.11827992,-0.06266693,-0.18202451,-0.14568588,0.0057693496,0.10723387,-0.11964893,0.24243799,0.04363317,-0.09618995,0.2780168,0.22944501,-0.14017116,0.0018752087,0.20619498,-0.20419627,-0.107792534,0.10955897,0.2918267,0.12150874,0.060677398,0.2225247,-0.00016812608,0.0021180008,-0.08596632,0.034392715,-0.046569146,0.07045737,-0.19477278,-0.07802424,0.23080456,0.28262115,-0.02173566,0.12449833,-0.118380606,0.1654721,-0.043428745,-0.29550907,-0.03481259,-0.28134143,0.16830821,-0.08362623,-0.037129313,-0.09967535,-0.031773724,-0.11855243,0.023995697,-0.014759202,0.1758094,0.050867613
Q59RR7,0.24788052,-0.051640652,0.03693082,-0.08872958,-0.18156599,0.040901884,-0.022875026,0.10726343,-0.003916301,-0.07961974,0.028478757,0.009213686,0.0069651958,-0.055607013,-0.21818988,0.10825549,0.17154379,-0.092103325,-0.17178984,-0.22039273,0.18971974,0.05083204,0.13292018,-0.042637046,-0.30994925,0.046600536,0.12796651,0.15394026,0.16586776,0.050085425,0.09374991,-0.13759981,0.24029125,0.2679608,0.10659248,0.011200912,0.043635275,-0.17614932,-0.41559297,-0.11541729,-0.03180718,0.04672273,0.08650855,0.0054514334,-0.029886449,0.090942785,-0.034127913,0.22446391,0.053442087,0.043081082,-0.24672538,0.009498531,-0.026492214,-0.1812022,0.100783646,-0.1281204,-0.15981114,0.12075652,-0.11484135,0.11243454,-0.043411717,0.25269288,-0.041268166,-0.13471642
B4XT64,0.07841474,0.26879537,0.06423845,-0.059795715,-0.047389705,0.18245246,0.02175729,0.21074799,-0.12255887,-0.25726888,-0.046255082,0.08063704,0.085472845,0.21522062,-0.36419392,-0.013815742,0.1706092,-0.09298652,0.068472005,0.15360846,0.014043134,0.13882068,0.22083619,0.059339352,-0.05424124,-0.029787362,0.42714,0.2467577,0.13696373,-0.11470069,0.1767883,0.21072453,-0.042616602,-0.2048608,0.29550996,0.09059145,-0.024363536,0.18479744,-0.14314403,-0.0772448,-0.13750078,0.1640308,0.16857824,-0.17395233,-0.06497929,-0.06774314,-0.1231382,0.20884311,0.17716949,-0.24976926,-0.1466128,0.12905085,0.1925394,0.108547576,-0.027009595,-0.025159009,0.07738878,-0.20442176,-0.28533834,0.10778442,-0.022286825,0.13188055,0.1143519,-0.064352214
O75604,0.10936421,-0.13543235,0.20385173,0.06976816,-0.06880924,0.09167726,0.25835052,0.08357522,-0.087804064,-0.082290314,0.36927384,-0.037322477,0.022655437,0.28670087,-0.16691677,0.26203302,0.24633901,-0.22034258,-0.105304055,-0.10812622,-0.19645888,-0.02422864,0.06883065,-0.09787658,0.09320021,0.065268375,0.4008041,0.1296175,-0.022160655,0.13085407,-0.16285807,0.2629637,0.2138443,0.0013035852,0.39894587,0.025571942,0.22746193,0.1078647,0.089222446,0.11640653,-0.14661151,0.2721872,-0.045845486,-0.024585415,0.016200025,-0.053523373,-0.22973889,-0.060956165,0.11665828,-0.2889955,-0.12083084,0.13226473,0.071186155,-0.036620103,0.14097664,-0.046136282,0.21220323,0.06173125,-0.021975134,0.007938653,-0.02623386,0.085312486,0.15358017,-0.17885098
P26639,0.12250769,0.1792662,0.04774119,0.24218893,-0.0058543906,0.11826567,0.32276174,0.17109543,-0.1474394,-0.25245637,-0.031063586,0.04092714,0.2605815,0.12880304,-0.15927146,0.1903513,0.27690396,-0.0014461922,-0.21307248,-0.08328903,-0.005009193,0.07790709,-0.19423732,0.047853507,0.09281608,0.002203241,0.2235324,-0.078344814,0.04658965,-0.08433339,-0.030370712,0.22559676,-0.024599198,-0.10517472,0.35897687,0.14402798,0.112255916,0.14083661,0.028104767,-0.14195277,-0.020004556,0.13800305,0.10437182,-0.050250124,0.058818206,0.025991835,-0.15362582,0.3201283,0.14792454,-0.23318036,-0.20616612,0.115166835,0.08012012,-0.03798406,-0.013671456,-0.18045384,0.10046086,-0.33432835,-0.20153883,-0.17307983,-0.05327937,-0.03842059,-0.08298825,0.036988933
P12425,0.15410215,0.20182239,-0.11231273,0.08361531,-0.02859858,0.037381295,0.29017398,0.3067837,0.08949659,-0.22168219,-0.024352565,0.10854335,0.07312736,0.1574312,-0.12344597,0.27540728,0.18703063,-0.14379711,-0.103210285,0.06945843,0.0037044473,-0.01516223,0.100633085,-0.048730392,0.10993919,-0.07117006,0.22698148,-0.021449396,0.25955752,-0.06334634,-0.03267079,0.21204408,0.053423304,0.0047231764,0.30051348,0.24424386,0.031316083,0.13281219,0.04989223,-0.18214406,0.019724552,0.12107353,0.10519721,-0.048600916,0.19952355,-0.0015773345,-0.008637272,0.3831261,-0.083169304,-0.061434694,-0.057681486,0.20931791,0.15424533,0.028190888,-0.11295627,-0.27253506,-0.034354303,-0.27333534,-0.2984822,-0.13515341,-0.12241093,-0.0491646,-0.107844695,0.035235632
